Group;Family;Subfamily;Genus;Species;Author;Taxa;Size_1;Size_2;Size_3;Size_4;Size_5;Size_6;Size_7;life_cycle_less_1_t;life_cycle_more_1_t;volt1_t;volt2_t;volt3_t;stage_egg_t;stage_larva_t;stage_nymph_t;stage_adult_t;rep_ovo_t;rep_eggs_freeiso_t;rep_egg_isocem_t;rep_clutch_fix_t;rep_clutch_free_t;rep_clutch_veg_t;rep_clutch_terr_t;rep_asexual_t;disp_aq_passive_t;disp_aq_active_t;disp_air_passive_t;disp_air_active_t;resist_eggs_statoblasts_t;resist_cocoons_t;resist_housing_t;resist_dormancy_diapause_t;resist_none_t;resp_tegument_t;resp_gill_t;resp_plastron_t;resp_spiracle_t;resp_vesicle_t;loc_flier_t;loc_swimmer_surf_t;loc_swimmer_full_t;loc_crawler_t;loc_burrower_t;loc_interstitial_t;loc_att_temp_t;loc_att_perm_t;food_micro_t;food_detritus_t;food_deadplant_t;food_livingmicrophytes_t;food_livingmacrophytes_t;food_deadanimal_t;food_livingmicroinvertebrates_t;food_livingmacroinvertebrates_t;food_vertebrates_t;feed_abs_t;feed_deposit_t;feed_shredder_t;feed_scraper_t;feed_filter_t;feed_piercer_t;feed_predator_t;feed_parasite_t;trans_dist_riverchannel_t;trans_banks_connected_t;trans_ponds_pools_disconnected_t;trans_disp_marshes_peatbogs_t;trans_disp_temporarywaters_t;trans_disp_lakes_t;trans_dist_groundwaters_t;long_dist_crenon_t;long_dist_epirithron_t;long_dist_metarithron_t;long_dist_hyporithron_t;long_dist_epipotamon_t;long_dist_metapotamon_t;long_dist_estuary_t;long_dist_outsideriver_t;alt_lowlands_t;alt_piedmont_t;alt_alpine_t;subs_flags_t;subs_gravel_t;subs_sand_t;subs_silt_t;subs_macrophytes_t;subs_microphytes_t;subs_twigs_t;subs_organicdetritus_t;subs_mud_t;current_null_t;surrent_slow_t;current_medium_t;current_fast_t;troph_stat_oligo_t;troph_stat_meso_t;troph_stat_eutro_t;salt_fresh_t;salt_brack_t;temp_cold_t;temp_warm_t;temp_eury_t;sapro_xeno_t;sapro_oligo_t;sapro_betameso_t;sapro_alphameso_t;sapro_poly_t;Ph_4_t;Ph_445_t;Ph_455_t;Ph_555_t;Ph_556_t;Ph_6_t;MSS_traits_narcosis;EC_traits_narcosis;MSS_traits_AChE_inhibition;EC_traits_AChE_inhibition;MSS_atz;EC_atz;MSS_Cu;EC_Cu;MSS_Imida;EC_Imida
Ephemeroptera;BAETIDAE;BAETINAE;Baetis;sp.;NA;Baetis;0;0;3;1;0;0;0;3;0;0;2;3;3;3;0;0;0;0;1;3;0;0;0;0;3;2;1;3;2;0;0;0;2;1;2;0;0;0;0;0;3;4;0;1;0;0;0;2;2;5;1;1;0;0;0;0;1;0;3;0;0;0;0;4;3;0;0;1;1;0;3;4;4;4;3;2;0;1;3;2;1;4;2;1;0;5;0;3;1;0;0;2;3;2;3;3;3;3;1;0;0;3;1;2;3;1;0;1;1;1;2;3;3;0.195;1.56675107010815;-0.32;0.478630092322639;2.78796228721035;613.708710284485;3.03623452949747;1087.01247810709;-1.08001497469863;0.0831735091951564
Ephemeroptera;HEPTAGENIIDAE;HEPTAGENIINAE;Ecdyonurus;sp.;NA;Ecdyonurus;0;0;0;3;0;0;0;3;1;1;3;0;3;3;0;0;0;2;0;3;0;0;0;0;3;1;1;3;2;0;0;1;2;1;3;0;0;0;0;0;1;5;0;0;0;0;1;2;3;2;0;0;0;0;0;0;0;2;3;0;0;0;0;3;2;0;0;0;1;0;3;3;5;2;2;1;0;1;3;2;1;4;1;1;1;0;0;1;0;0;1;2;3;2;2;3;0;3;0;1;1;3;1;3;3;1;0;0;0;0;1;1;3;0.195;1.56675107010815;0.81;6.45654229034656;2.68353073691213;482.537130105695;2.649006919827;445.663349313673;-1.84346260157339;0.0143396119352496
Coleoptera;ELMIDAE;ELMINAE;Elmis;sp. Ad. / Lv.;NA;Elmis;0;3;0;0;0;0;0;1;3;0;3;0;3;3;0;2;0;0;0;3;0;0;0;0;2;1;0;2;0;0;0;0;3;1;3;3;0;0;1;0;0;4;0;1;0;0;0;1;0;3;0;0;0;0;0;0;0;1;3;0;0;0;0;3;3;0;0;0;0;0;1;3;3;3;1;0;0;0;3;1;1;3;3;1;0;3;0;0;0;0;0;3;3;3;3;2;0;3;0;1;0;3;1;3;2;0;0;0;0;1;1;1;3;0.39;2.45470891568503;-0.0299999999999998;0.933254300796991;2.87261994967296;745.795828162745;2.81110375155675;647.297234509056;-0.637702497837679;0.230301890049776
Trichoptera;HYDROPSYCHIDAE;[Fam:HYDROPSYCHIDAE];Hydropsyche;sp.;NA;Hydropsyche;0;0;1;3;1;0;0;3;0;0;2;2;3;3;3;0;0;0;0;3;0;0;0;0;3;2;1;3;0;0;0;0;3;2;3;0;0;0;0;0;0;2;0;0;3;0;0;2;1;3;0;0;3;1;0;0;0;0;0;3;0;1;0;5;3;0;0;0;1;0;1;3;4;5;4;2;0;1;3;2;1;5;2;1;0;3;0;4;0;0;0;1;3;1;1;3;2;3;0;1;1;3;1;2;3;2;0;0;1;1;2;3;3;0.195;1.56675107010815;0.0750000000000004;1.18850222743702;2.80772388524428;642.279240649067;2.88634344790224;769.738923066317;-0.627081094291393;0.236003751047504
Plecoptera;LEUCTRIDAE;[Fam:LEUCTRIDAE];Leuctra;sp.;NA;Leuctra;0;0;3;1;0;0;0;3;1;1;3;0;3;3;0;0;0;0;3;0;0;0;0;0;2;2;0;1;1;0;0;0;3;3;0;0;0;0;0;0;0;5;2;1;0;0;0;1;1;2;2;1;0;0;0;0;1;3;1;0;0;0;0;5;3;1;0;0;1;1;2;4;5;4;3;0;0;1;3;2;1;4;3;2;2;4;0;4;2;0;1;2;2;2;3;1;0;3;0;2;0;3;2;3;2;0;0;1;1;2;3;3;3;0.055;1.13501081567232;0.98;9.54992586021437;2.88391883666019;765.453541378227;2.84166711435108;694.491787281733;-1.07368778422819;0.0843941251953004
Plecoptera;NEMOURIDAE;[Fam:NEMOURIDAE];Protonemura;sp.;NA;Protonemura;0;0;3;1;0;0;0;3;0;0;3;0;3;3;0;0;0;0;3;0;0;0;0;0;2;2;0;1;1;0;0;1;3;3;2;0;0;0;0;0;0;5;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;3;0;0;0;0;0;5;2;0;0;1;1;0;4;5;1;1;1;0;0;1;3;3;1;4;0;1;0;4;0;1;2;0;0;2;2;2;3;0;0;3;0;2;0;1;3;3;0;0;0;1;2;3;3;3;3;0.055;1.13501081567232;2.54;346.736850452532;2.611427740598;408.721741931377;2.42078920637356;263.505209945898;-1.28021376697778;0.052454920484045
Ephemeroptera;HEPTAGENIIDAE;HEPTAGENIINAE;Rhithrogena;sp.;NA;Rhithrogena;0;0;1;3;0;0;0;3;1;1;3;0;3;3;0;0;0;1;1;3;0;0;0;0;3;2;1;3;2;0;0;0;2;1;3;0;0;0;0;0;1;5;0;1;0;0;0;1;0;3;1;0;0;0;0;0;1;0;3;0;0;0;0;4;1;0;0;0;0;0;1;2;3;3;2;0;0;0;3;3;2;5;2;1;0;0;0;0;1;0;0;0;2;3;3;1;0;3;0;2;0;1;2;3;2;0;0;0;0;0;0;1;3;0.195;1.56675107010815;2.37;234.422881531992;2.6977262294868;498.570099807641;2.63252652120996;429.068390505302;-1.86502544666515;0.0136450318375895
Trichoptera;RHYACOPHILIDAE;[Fam:RHYACOPHILIDAE];Rhyacophila;sp.;NA;Rhyacophila;0;0;1;3;2;0;0;3;2;1;2;1;3;3;3;0;0;0;3;0;1;0;0;0;3;2;1;2;1;0;0;2;3;2;2;0;0;0;0;0;2;3;0;0;1;0;0;1;1;1;0;0;1;5;0;0;0;0;0;0;0;3;0;4;2;0;0;1;1;0;2;4;3;2;1;1;0;1;3;3;2;5;1;1;0;1;0;2;1;0;0;1;3;2;3;2;0;3;0;1;1;3;2;3;2;1;0;1;1;2;3;3;3;0.375;2.37137370566166;0.3;1.99526231496888;2.90072831076465;795.661438773324;2.81486610259963;652.92921690206;-1.03063699759606;0.0931886461671104
Diptera;CHIRONOMIDAE;average;average;average;NA;Chironomidae;0;0.8;2.6;1.2;0.4;0;0;3;0;0;1.6;1.8;0.2;2.8;3;0;0.4;0;0;1.2;2.6;0;0.4;0;1.8;1;1.8;1;0;0;0;0.4;3;3;1;0;0;0;0;0;1.6;2.6;1.4;1;1;0;0.2;2.4;0.4;2;0.6;0.2;1.6;1.2;0;0;1.4;0.8;1.6;0.8;0;1.4;0.4;0.2;2.8;1.4;0.8;1.4;2.2;0;1.8;2;1.6;1.6;1.6;1.4;0.6;2.6;2;1.8;1;2.8;1.4;2;1.2;3.6;0.4;1.2;1.2;2.2;1.4;1.4;1.4;1.4;1;1.8;1.6;3;1;2;0.8;2.4;1.2;2.6;2.4;1.4;0.6;1.4;1.8;2.2;2.4;2.4;2.4;-0.07;0.851138038202376;-0.32;0.478630092322639;2.95284859572837;897.115986309515;2.5530614111262;357.323361655178;-1.98911941367713;0.0102536995160866
Diptera;EMPIDIDAE;average;average;average;NA;Empididae;0;0;3;0;0;0;0;3;0;0;3;1.5;0;2.5;3;0;0;0;0;0;0;0;2;0;1;1;0;2;0;0;0;0;0;1;0;0;1;0;0;0;0;2;1;1;0;0;0;0;0;0.5;0;0;0;5;0;0;0;0;0;0;0;3;0;2;2.5;0;1.5;0;0;0;2;2;2;2;0.5;0.5;0;0;2;1.5;1.5;3.5;2;1;0.5;3.5;0;2;1;1;0;0.5;1;2;1;3;1;3;0.5;0.5;0;2.5;1;1;3;1;0;0;0;1.5;3;3;3;0.0150000000000001;1.03514216667934;0.3;1.99526231496888;2.86280141007477;729.124027323617;2.8446865987227;699.33714902578;-0.999994686726131;0.100001223434004
