"Taxa";"Baetis";"Ecdyonurus";"Elmis";"Hydropsyche";"Leuctra";"Protonemura";"Rhithrogena";"Rhyacophila";"Chironomidae";"Empididae";"Limnephilidae";"Limoniidae";"Oligochaeta";"Simuliidae"
"Baetis";"0";"0";"0";"0";"0";"0";"0";"0.632792042654303";"0";"0";"0";"0";"0";"0"
"Ecdyonurus";"0";"0";"0";"0";"0";"0";"0";"0.350771348726079";"0";"0";"0";"0";"0";"0"
"Elmis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hydropsyche";"0";"0";"0";"0";"0";"0";"0";"0.350771348726079";"0";"0";"0";"0";"0";"0"
"Leuctra";"0";"0";"0";"0";"0";"0";"0";"0.632792042654303";"0";"0";"0";"0";"0";"0"
"Protonemura";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Rhithrogena";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Rhyacophila";"-0.506233634123442";"-0.280617078980863";"0";"-0.280617078980863";"-0.506233634123442";"0";"0";"0";"-0.510574086230703";"0";"0";"-0.378965359452761";"0";"-0.71427056975308"
"Chironomidae";"0";"0";"0";"0";"0";"0";"0";"0.638217607788378";"0";"0.200681282638439";"0";"0";"0";"0"
"Empididae";"0";"0";"0";"0";"0";"0";"0";"0";"-0.160545026110751";"0";"0";"0";"0";"-0.291974397612817"
"Limnephilidae";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Limoniidae";"0";"0";"0";"0";"0";"0";"0";"0.473706699315951";"0";"0";"0";"0";"0";"0"
"Oligochaeta";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Simuliidae";"0";"0";"0";"0";"0";"0";"0";"0.89283821219135";"0";"0.364967997016021";"0";"0";"0";"0"
