"Taxa";"Baetis";"Ecdyonurus";"Elmis";"Hydropsyche";"Leuctra";"Protonemura";"Rhithrogena";"Rhyacophila";"Chironomidae";"Empididae";"Limnephilidae";"Limoniidae";"Oligochaeta";"Simuliidae"
"Baetis";"0";"0";"0";"0";"0";"0";"0";"0.632792042654303";"0";"0.198121296975805";"0";"0";"0";"0"
"Ecdyonurus";"0";"0";"0";"0";"0";"0";"0";"0.350771348726079";"0";"0.0899156668125896";"0";"0";"0";"0"
"Elmis";"0";"0";"0";"0";"0";"0";"0";"0.975278728280991";"0";"0.679570457114761";"0";"0";"0";"0"
"Hydropsyche";"0";"0";"0";"0";"0";"0";"0";"0.350771348726079";"0";"0.0899156668125896";"0";"0";"0";"0"
"Leuctra";"0";"0";"0";"0";"0";"0";"0";"0.632792042654303";"0";"0.198121296975805";"0";"0";"0";"0"
"Protonemura";"0";"0";"0";"0";"0";"0";"0";"0.632792042654303";"0";"0.198121296975805";"0";"0";"0";"0"
"Rhithrogena";"0";"0";"0";"0";"0";"0";"0";"0.421518654964798";"0";"0.113320568889915";"0";"0";"0";"0"
"Rhyacophila";"-0.506233634123442";"-0.280617078980863";"-0.780222982624793";"-0.280617078980863";"-0.506233634123442";"-0.506233634123442";"-0.337214923971838";"0";"-0.510574086230703";"0";"-0.214770526654845";"-0.378965359452761";"-0.28700834294498";"-0.71427056975308"
"Chironomidae";"0";"0";"0";"0";"0";"0";"0";"0.638217607788378";"0";"0.200681282638439";"0";"0";"0";"0"
"Empididae";"-0.158497037580644";"-0.0719325334500717";"-0.543656365691809";"-0.0719325334500717";"-0.158497037580644";"-0.158497037580644";"-0.090656455111932";"0";"-0.160545026110751";"0";"-0.0520785000828686";"-0.105584939944163";"-0.0739661794386484";"-0.291974397612817"
"Limnephilidae";"0";"0";"0";"0";"0";"0";"0";"0.268463158318557";"0";"0.0650981251035858";"0";"0";"0";"0"
"Limoniidae";"0";"0";"0";"0";"0";"0";"0";"0.473706699315951";"0";"0.131981174930204";"0";"0";"0";"0"
"Oligochaeta";"0";"0";"0";"0";"0";"0";"0";"0.358760428681225";"0";"0.0924577242983105";"0";"0";"0";"0"
"Simuliidae";"0";"0";"0";"0";"0";"0";"0";"0.89283821219135";"0";"0.364967997016021";"0";"0";"0";"0"
