Group;Family;Subfamily;Genus;Species;Author;Taxa;Size_1;Size_2;Size_3;Size_4;Size_5;Size_6;Size_7;life_cycle_less_1_t;life_cycle_more_1_t;volt1_t;volt2_t;volt3_t;stage_egg_t;stage_larva_t;stage_nymph_t;stage_adult_t;rep_ovo_t;rep_eggs_freeiso_t;rep_egg_isocem_t;rep_clutch_fix_t;rep_clutch_free_t;rep_clutch_veg_t;rep_clutch_terr_t;rep_asexual_t;disp_aq_passive_t;disp_aq_active_t;disp_air_passive_t;disp_air_active_t;resist_eggs_statoblasts_t;resist_cocoons_t;resist_housing_t;resist_dormancy_diapause_t;resist_none_t;resp_tegument_t;resp_gill_t;resp_plastron_t;resp_spiracle_t;resp_vesicle_t;loc_flier_t;loc_swimmer_surf_t;loc_swimmer_full_t;loc_crawler_t;loc_burrower_t;loc_interstitial_t;loc_att_temp_t;loc_att_perm_t;food_micro_t;food_detritus_t;food_deadplant_t;food_livingmicrophytes_t;food_livingmacrophytes_t;food_deadanimal_t;food_livingmicroinvertebrates_t;food_livingmacroinvertebrates_t;food_vertebrates_t;feed_abs_t;feed_deposit_t;feed_shredder_t;feed_scraper_t;feed_filter_t;feed_piercer_t;feed_predator_t;feed_parasite_t;trans_dist_riverchannel_t;trans_banks_connected_t;trans_ponds_pools_disconnected_t;trans_disp_marshes_peatbogs_t;trans_disp_temporarywaters_t;trans_disp_lakes_t;trans_dist_groundwaters_t;long_dist_crenon_t;long_dist_epirithron_t;long_dist_metarithron_t;long_dist_hyporithron_t;long_dist_epipotamon_t;long_dist_metapotamon_t;long_dist_estuary_t;long_dist_outsideriver_t;alt_lowlands_t;alt_piedmont_t;alt_alpine_t;subs_flags_t;subs_gravel_t;subs_sand_t;subs_silt_t;subs_macrophytes_t;subs_microphytes_t;subs_twigs_t;subs_organicdetritus_t;subs_mud_t;current_null_t;surrent_slow_t;current_medium_t;current_fast_t;troph_stat_oligo_t;troph_stat_meso_t;troph_stat_eutro_t;salt_fresh_t;salt_brack_t;temp_cold_t;temp_warm_t;temp_eury_t;sapro_xeno_t;sapro_oligo_t;sapro_betameso_t;sapro_alphameso_t;sapro_poly_t;Ph_4_t;Ph_445_t;Ph_455_t;Ph_555_t;Ph_556_t;Ph_6_t;MSS_traits_narcosis;EC_traits_narcosis;MSS_traits_AChE_inhibition;EC_traits_AChE_inhibition;MSS_atz;EC_atz;MSS_Cu;EC_Cu;MSS_Imida;EC_Imida
Bivalvia;DREISSENIDAE;[Fam:DREISSENIIDAE];Dreissena;polymorpha;PALLAS, 1771;Dreissena polymorpha;0;0;0;0;3;1;0;0;3;0;3;0;3;3;0;3;3;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;3;1;3;0;0;0;0;0;1;1;0;0;0;3;0;3;0;2;0;0;3;0;0;0;0;0;0;3;0;0;0;3;2;2;0;0;2;0;0;0;0;1;4;5;2;1;3;0;0;5;0;0;0;0;0;2;0;0;3;3;0;0;0;2;1;3;2;0;0;3;0;1;3;1;0;0;0;0;0;1;3;0.57;3.71535229097173;-0.2;0.630957344480194;4.84508585325739;69998.035754431;2.98398469182394;963.795050812968;0.323441248587522;2.10591699100341
Ephemeroptera;BAETIDAE;BAETINAE;Baetis;sp.;NA;Baetis;0;0;3;1;0;0;0;3;0;0;2;3;3;3;0;0;0;0;1;3;0;0;0;0;3;2;1;3;2;0;0;0;2;1;2;0;0;0;0;0;3;4;0;1;0;0;0;2;2;5;1;1;0;0;0;0;1;0;3;0;0;0;0;4;3;0;0;1;1;0;3;4;4;4;3;2;0;1;3;2;1;4;2;1;0;5;0;3;1;0;0;2;3;2;3;3;3;3;1;0;0;3;1;2;3;1;0;1;1;1;2;3;3;0.195;1.56675107010815;-0.32;0.478630092322639;2.78796228721035;613.708710284485;3.03623452949747;1087.01247810709;-1.08001497469863;0.0831735091951564
Ephemeroptera;CAENIDAE;CAENINAE;Caenis;sp.;NA;Caenis;0;2;3;0;0;0;0;3;0;0;1;3;3;3;0;0;0;1;2;0;0;0;0;0;2;1;1;1;2;0;0;1;2;1;3;0;0;0;0;0;0;5;1;1;0;0;1;4;2;1;1;1;0;0;0;0;3;1;0;0;0;0;0;2;4;2;1;1;3;0;0;1;2;3;3;4;0;4;3;1;0;2;2;3;3;4;0;2;3;5;3;3;1;0;1;3;2;3;1;0;1;3;0;1;3;1;0;0;0;1;1;2;3;0.57;3.71535229097173;0.0200000000000005;1.0471285480509;2.90734786418947;807.881873952997;2.83093864438537;677.545779536444;-1.48099755337649;0.03303714021983
Crustacea;GAMMARIDAE;[Fam:GAMMARIDAE];Gammarus;sp.;NA;Gammarus;0;0;0;2;2;0;0;1;3;0;0;3;3;3;0;3;3;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;3;0;3;0;0;0;0;0;2;3;0;1;0;0;0;1;5;2;1;2;2;1;0;0;0;3;1;0;0;0;0;3;4;1;0;1;2;0;2;2;2;2;2;2;2;1;3;3;0;5;3;2;1;3;2;4;4;0;1;2;3;1;3;3;0;3;1;1;0;3;1;2;3;2;0;1;1;2;2;2;3;0.57;3.71535229097173;-0.99;0.102329299228076;3.90919489758864;8113.25073127902;1.60381625468826;40.1620853446002;-0.0809264876315978;0.82999124698452
Ephemeroptera;HEPTAGENIIDAE;HEPTAGENIINAE;Heptagenia;sp.;NA;Heptagenia;0;0;0;3;0;0;0;3;1;1;3;0;3;3;0;0;0;1;2;0;0;0;0;0;3;1;1;3;1;0;0;2;2;1;3;0;0;0;0;0;1;5;0;0;0;0;1;2;2;3;1;0;0;0;0;0;1;2;3;0;0;0;0;4;2;0;0;0;2;0;0;1;2;4;4;1;0;1;3;0;0;5;2;1;0;1;0;1;1;0;0;2;3;2;0;3;1;3;0;0;0;3;0;1;3;1;0;1;1;1;2;2;3;0.195;1.56675107010815;0.81;6.45654229034656;2.67527531110478;473.451297527184;2.65525879633499;452.125285838036;-1.85486567750195;0.0139680030919931
Trichoptera;HYDROPSYCHIDAE;[Fam:HYDROPSYCHIDAE];Hydropsyche;sp.;NA;Hydropsyche;0;0;1;3;1;0;0;3;0;0;2;2;3;3;3;0;0;0;0;3;0;0;0;0;3;2;1;3;0;0;0;0;3;2;3;0;0;0;0;0;0;2;0;0;3;0;0;2;1;3;0;0;3;1;0;0;0;0;0;3;0;1;0;5;3;0;0;0;1;0;1;3;4;5;4;2;0;1;3;2;1;5;2;1;0;3;0;4;0;0;0;1;3;1;1;3;2;3;0;1;1;3;1;2;3;2;0;0;1;1;2;3;3;0.195;1.56675107010815;0.0750000000000004;1.18850222743702;2.80772388524428;642.279240649067;2.88634344790224;769.738923066317;-0.627081094291393;0.236003751047504
Trichoptera;HYDROPTILIDAE;[Fam:HYDROPTILIDAE];Hydroptila;sp.;NA;Hydroptila;0;3;1;0;0;0;0;3;0;0;2;3;3;3;3;0;0;0;0;3;0;0;0;0;1;1;2;1;0;0;0;0;3;3;1;0;0;0;0;0;0;3;0;0;1;0;0;2;0;1;4;0;0;0;0;0;1;1;1;0;3;0;0;2;4;1;0;1;5;0;1;2;3;5;3;1;0;4;3;0;0;2;2;1;0;5;2;1;1;1;1;3;2;0;2;3;1;3;1;1;0;0;0;1;3;2;0;0;0;0;0;0;3;-0.32;0.478630092322638;0.9;7.94328234724282;2.90601928786449;805.414210419809;2.82531007159514;668.821262941571;-1.02297553954895;0.0948471881885932
Gastropoda;HYDROBIIDAE;[Fam:HYDROBIIDAE];Potamopyrgus;antipodarum;GRAY, 1843;Potamopyrgus;0;3;2;0;0;0;0;3;1;0;1;3;3;0;0;3;3;0;0;0;0;0;0;0;3;2;2;0;0;0;0;1;0;1;3;0;0;0;0;0;0;3;1;0;0;0;0;0;4;2;3;0;0;0;0;0;0;3;2;0;0;0;0;2;3;1;0;0;1;0;0;0;0;0;2;4;3;2;3;0;0;3;2;1;1;3;3;0;0;4;2;3;3;0;0;2;3;2;3;0;1;3;0;0;2;2;1;0;0;0;0;0;3;0.57;3.71535229097173;-0.149999999999999;0.707945784384139;4.22382170080651;16742.5537093166;2.48161120134272;303.117633281152;1.32531712766712;21.1503290154216
Crustacea;COROPHIIDAE;[Fam:COROPHIIDAE];Corophium;sp.;NA;Chelicorophium;0;0;3;0;0;0;0;3;0;0;0;3;3;3;0;3;3;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;3;0;3;0;0;0;0;0;1;3;1;0;0;0;0;2;2;1;0;0;0;0;0;0;2;3;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;2;2;0;3;0;0;3;0;0;3;3;0;3;1;0;3;3;0;0;0;2;1;3;3;0;1;0;0;1;3;1;0;0;0;0;0;0;3;0.445;2.78612116862977;0.63;4.26579518801593;4.1113734543478;12923.3008404416;2.48107744731862;302.745326280385;0.605456843636531;4.03140883859892
Crustacea;GAMMARIDAE;[Fam:GAMMARIDAE];average;average;NA;Dikerogammarus;0;0;0;0.666666667;2.666666667;0;0;0.333333333;3;1;0;2;3;3;0;3;3;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;3;0.333333333;3;0;0;0;0;0;1.666666667;3;0.333333333;1.333333333;0;0;0;2.333333333;3.666666667;1.333333333;0.666666667;1.333333333;1.666666667;1;0;0;0;3;0.333333333;0;0;0;0;2;3;0.333333333;0.333333333;0.333333333;0.666666667;1.666666667;0.666666667;0.666666667;0.666666667;0.666666667;1;1.666666667;1.333333333;1.333333333;3;1.333333333;0;3.666666667;2.333333333;2;2.333333333;2.666666667;1.333333333;2.666666667;2.666666667;0;1.333333333;1.666666667;1;0.333333333;2.333333333;1.666666667;0;3;0.666666667;1.333333333;0.333333333;1.333333333;1.333333333;1.666666667;2;0.666666667;0;0.333333333;0.333333333;1.333333333;1.333333333;1.666666667;2.666666667;0.57;3.71535229097173;-0.21;0.616595001861483;3.88130109935141;7608.53599154496;1.74475105590314;55.5585695941024;-0.019887707942795;0.95523954275612
Crustacea;GAMMARIDAE;[Fam:GAMMARIDAE];Echinogammarus;sp.;NA;Echinogammarus;0;0;0;0;3;0;0;0;3;0;0;3;3;3;0;3;3;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;3;0;3;0;0;0;0;0;2;3;0;0;0;0;0;1;5;2;1;2;2;1;0;0;0;3;0;0;0;0;0;3;4;0;0;0;0;0;0;0;0;0;1;3;2;0;3;0;0;5;3;1;1;5;2;4;4;0;0;2;0;0;2;2;0;3;1;0;1;0;0;2;2;0;0;0;0;1;1;2;2;0.57;3.71535229097173;-0.21;0.616595001861483;3.83044516018657;6767.76328718568;1.7798190878222;60.2308632701299;-0.0052586408182669;0.987964544553591
