"Taxa";"Dreissena polymorpha";"Baetis";"Caenis";"Gammarus";"Heptagenia";"Hydropsyche";"Hydroptila";"Potamopyrgus";"Chelicorophium";"Dikerogammarus";"Echinogammarus";"Jaera";"Chironomidae"
"Dreissena polymorpha";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Baetis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Caenis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gammarus";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Heptagenia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hydropsyche";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hydroptila";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Potamopyrgus";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Chelicorophium";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Dikerogammarus";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Echinogammarus";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Jaera";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Chironomidae";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
