"Taxa";"Ancylus fluviatilis";"Lepidostoma hirtum";"Stylodrilus heringianus";"Baetis";"Elmis";"Esolus";"Gammarus";"Hydropsyche";"Leuctra";"Limnius";"Polycentropus";"Potamopyrgus";"Rhyacophila";"Ephemerella";"Chironomidae"
"Ancylus fluviatilis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0"
"Lepidostoma hirtum";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0"
"Stylodrilus heringianus";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0"
"Baetis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0"
"Elmis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0"
"Esolus";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0"
"Gammarus";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0"
"Hydropsyche";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0"
"Leuctra";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0"
"Limnius";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0"
"Polycentropus";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"0";"-0.8";"0";"-0.8";"-0.8"
"Potamopyrgus";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0"
"Rhyacophila";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"0";"-0.8";"0";"-0.8";"-0.8"
"Ephemerella";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0"
"Chironomidae";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0"
