"Taxa";"Physa fontinalis";"Piscicola geometra";"Ancylus fluviatilis";"Baetis";"Elmis";"Gammarus";"Hydropsyche";"Limnius";"Polycentropus";"Potamopyrgus";"Rhyacophila";"Sericostoma";"Ephemerella";"Chironomidae";"Simuliidae"
"Physa fontinalis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Piscicola geometra";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Ancylus fluviatilis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Baetis";"0";"0";"0";"0";"0";"0";"0";"0";"0.449488841783357";"0";"0.632792042654303";"0";"0";"0";"0"
"Elmis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gammarus";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hydropsyche";"0";"0";"0";"0";"0";"0";"0";"0";"0.228287037027747";"0";"0.350771348726079";"0";"0";"0";"0"
"Limnius";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Polycentropus";"0";"0";"0";"-0.359591073426686";"0";"0";"-0.182629629622197";"0";"0";"0";"0";"-0.182629629622197";"0";"-0.36335730475723";"-0.570148979879144"
"Potamopyrgus";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Rhyacophila";"0";"0";"0";"-0.506233634123442";"0";"0";"-0.280617078980863";"0";"0";"0";"0";"-0.280617078980863";"-0.626376770298603";"-0.510574086230703";"-0.71427056975308"
"Sericostoma";"0";"0";"0";"0";"0";"0";"0";"0";"0.228287037027747";"0";"0.350771348726079";"0";"0";"0";"0"
"Ephemerella";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0.782970962873253";"0";"0";"0";"0"
"Chironomidae";"0";"0";"0";"0";"0";"0";"0";"0";"0.454196630946537";"0";"0.638217607788378";"0";"0";"0";"0"
"Simuliidae";"0";"0";"0";"0";"0";"0";"0";"0";"0.71268622484893";"0";"0.89283821219135";"0";"0";"0";"0"
