"Taxa";"Physa fontinalis";"Piscicola geometra";"Ancylus fluviatilis";"Baetis";"Elmis";"Gammarus";"Hydropsyche";"Limnius";"Polycentropus";"Potamopyrgus";"Rhyacophila";"Sericostoma";"Ephemerella";"Chironomidae";"Simuliidae"
"Physa fontinalis";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0"
"Piscicola geometra";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0"
"Ancylus fluviatilis";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0"
"Baetis";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0"
"Elmis";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0"
"Gammarus";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0"
"Hydropsyche";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0"
"Limnius";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0"
"Polycentropus";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"0";"-0.8";"0";"-0.8";"-0.8";"-0.8";"-0.8"
"Potamopyrgus";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0"
"Rhyacophila";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"0";"-0.8";"0";"-0.8";"-0.8";"-0.8";"-0.8"
"Sericostoma";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0"
"Ephemerella";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0"
"Chironomidae";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0"
"Simuliidae";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0"
