"Taxa";"Physa fontinalis";"Piscicola geometra";"Ancylus fluviatilis";"Baetis";"Elmis";"Gammarus";"Hydropsyche";"Limnius";"Polycentropus";"Potamopyrgus";"Rhyacophila";"Sericostoma";"Ephemerella";"Chironomidae";"Simuliidae"
"Physa fontinalis";"0";"0";"0";"0";"0";"0";"0";"0";"0.280105566896129";"0";"0.421518654964798";"0";"0";"0";"0"
"Piscicola geometra";"0";"0";"0";"0";"0";"0";"0";"0";"0.0301168074175933";"0";"0.0511557361660541";"0";"0";"0";"0"
"Ancylus fluviatilis";"0";"0";"0";"0";"0";"0";"0";"0";"0.350771348726078";"0";"0.513399494345205";"0";"0";"0";"0"
"Baetis";"0";"0";"0";"0";"0";"0";"0";"0";"0.449488841783357";"0";"0.632792042654303";"0";"0";"0";"0"
"Elmis";"0";"0";"0";"0";"0";"0";"0";"0";"0.983081959651552";"0";"0.975278728280991";"0";"0";"0";"0"
"Gammarus";"0";"0";"0";"0";"0";"0";"0";"0";"0.117390606170642";"0";"0.189359781494957";"0";"0";"0";"0"
"Hydropsyche";"0";"0";"0";"0";"0";"0";"0";"0";"0.228287037027747";"0";"0.350771348726079";"0";"0";"0";"0"
"Limnius";"0";"0";"0";"0";"0";"0";"0";"0";"0.983081959651552";"0";"0.975278728280991";"0";"0";"0";"0"
"Polycentropus";"-0.224084453516903";"-0.0240934459340746";"-0.280617078980863";"-0.359591073426686";"-0.786465567721242";"-0.0939124849365139";"-0.182629629622197";"-0.786465567721242";"0";"-0.661562505191461";"0";"-0.182629629622197";"-0.471658204990573";"-0.36335730475723";"-0.570148979879144"
"Potamopyrgus";"0";"0";"0";"0";"0";"0";"0";"0";"0.826953131489326";"0";"0.969175295198674";"0";"0";"0";"0"
"Rhyacophila";"-0.337214923971838";"-0.0409245889328433";"-0.410719595476164";"-0.506233634123442";"-0.780222982624793";"-0.151487825195966";"-0.280617078980863";"-0.780222982624793";"0";"-0.775340236158939";"0";"-0.280617078980863";"-0.626376770298603";"-0.510574086230703";"-0.71427056975308"
"Sericostoma";"0";"0";"0";"0";"0";"0";"0";"0";"0.228287037027747";"0";"0.350771348726079";"0";"0";"0";"0"
"Ephemerella";"0";"0";"0";"0";"0";"0";"0";"0";"0.589572756238217";"0";"0.782970962873253";"0";"0";"0";"0"
"Chironomidae";"0";"0";"0";"0";"0";"0";"0";"0";"0.454196630946537";"0";"0.638217607788378";"0";"0";"0";"0"
"Simuliidae";"0";"0";"0";"0";"0";"0";"0";"0";"0.71268622484893";"0";"0.89283821219135";"0";"0";"0";"0"
