Group;Family;Subfamily;Genus;Species;Author;Taxa;Size_1;Size_2;Size_3;Size_4;Size_5;Size_6;Size_7;life_cycle_less_1_t;life_cycle_more_1_t;volt1_t;volt2_t;volt3_t;stage_egg_t;stage_larva_t;stage_nymph_t;stage_adult_t;rep_ovo_t;rep_eggs_freeiso_t;rep_egg_isocem_t;rep_clutch_fix_t;rep_clutch_free_t;rep_clutch_veg_t;rep_clutch_terr_t;rep_asexual_t;disp_aq_passive_t;disp_aq_active_t;disp_air_passive_t;disp_air_active_t;resist_eggs_statoblasts_t;resist_cocoons_t;resist_housing_t;resist_dormancy_diapause_t;resist_none_t;resp_tegument_t;resp_gill_t;resp_plastron_t;resp_spiracle_t;resp_vesicle_t;loc_flier_t;loc_swimmer_surf_t;loc_swimmer_full_t;loc_crawler_t;loc_burrower_t;loc_interstitial_t;loc_att_temp_t;loc_att_perm_t;food_micro_t;food_detritus_t;food_deadplant_t;food_livingmicrophytes_t;food_livingmacrophytes_t;food_deadanimal_t;food_livingmicroinvertebrates_t;food_livingmacroinvertebrates_t;food_vertebrates_t;feed_abs_t;feed_deposit_t;feed_shredder_t;feed_scraper_t;feed_filter_t;feed_piercer_t;feed_predator_t;feed_parasite_t;trans_dist_riverchannel_t;trans_banks_connected_t;trans_ponds_pools_disconnected_t;trans_disp_marshes_peatbogs_t;trans_disp_temporarywaters_t;trans_disp_lakes_t;trans_dist_groundwaters_t;long_dist_crenon_t;long_dist_epirithron_t;long_dist_metarithron_t;long_dist_hyporithron_t;long_dist_epipotamon_t;long_dist_metapotamon_t;long_dist_estuary_t;long_dist_outsideriver_t;alt_lowlands_t;alt_piedmont_t;alt_alpine_t;subs_flags_t;subs_gravel_t;subs_sand_t;subs_silt_t;subs_macrophytes_t;subs_microphytes_t;subs_twigs_t;subs_organicdetritus_t;subs_mud_t;current_null_t;surrent_slow_t;current_medium_t;current_fast_t;troph_stat_oligo_t;troph_stat_meso_t;troph_stat_eutro_t;salt_fresh_t;salt_brack_t;temp_cold_t;temp_warm_t;temp_eury_t;sapro_xeno_t;sapro_oligo_t;sapro_betameso_t;sapro_alphameso_t;sapro_poly_t;Ph_4_t;Ph_445_t;Ph_455_t;Ph_555_t;Ph_556_t;Ph_6_t;MSS_traits_narcosis;EC_traits_narcosis;MSS_traits_AChE_inhibition;EC_traits_AChE_inhibition;MSS_atz;EC_atz;MSS_Cu;EC_Cu;MSS_Imida;EC_Imida
Gastropoda;NERITIDAE;[Fam:NERITIDAE];Theodoxus;fluviatilis;LINNAEUS, 1758;Theodoxus fluviatilis;0;0;3;1;0;0;0;3;1;0;3;0;3;0;0;3;0;0;3;0;0;0;0;0;2;1;0;0;0;0;0;1;0;1;3;0;0;0;0;0;0;3;0;0;2;0;0;0;3;5;3;1;2;2;0;0;0;1;3;0;0;0;0;2;4;0;0;0;3;0;0;0;0;1;3;2;2;2;3;0;0;5;1;0;0;1;0;2;0;0;0;2;3;2;3;3;1;3;3;0;1;3;0;1;3;0;0;0;0;0;0;1;3;0.57;3.71535229097173;0.81;6.45654229034656;4.22700561161283;16865.7481784555;2.42675911567535;267.152421896088;1.18446489130766;15.2920211957308
Gastropoda;PLANORBIDAE;[Fam:PLANORBIDAE];Ancylus;fluviatilis;O.F. M<dc>LLER, 1774;Ancylus fluviatilis;0;0;3;3;0;0;0;3;0;0;3;0;3;0;0;3;0;0;0;3;0;0;0;0;2;1;1;0;0;0;0;0;2;3;0;0;0;0;0;0;0;3;0;0;2;0;0;0;2;5;2;0;0;0;0;0;0;0;3;0;0;0;0;3;3;0;0;1;1;0;2;3;4;1;1;1;0;1;3;2;1;5;4;0;0;2;2;1;0;0;1;1;3;2;2;1;0;3;2;0;0;3;1;2;2;2;0;0;0;0;1;1;3;0.18;1.51356124843621;0.81;6.45654229034656;4.38274290493499;24140.3134521428;2.51186679684484;324.987604629749;1.28433635770568;19.2458172545001
Ephemeroptera;CAENIDAE;CAENINAE;Caenis;sp.;NA;Caenis;0;2;3;0;0;0;0;3;0;0;1;3;3;3;0;0;0;1;2;0;0;0;0;0;2;1;1;1;2;0;0;1;2;1;3;0;0;0;0;0;0;5;1;1;0;0;1;4;2;1;1;1;0;0;0;0;3;1;0;0;0;0;0;2;4;2;1;1;3;0;0;1;2;3;3;4;0;4;3;1;0;2;2;3;3;4;0;2;3;5;3;3;1;0;1;3;2;3;1;0;1;3;0;1;3;1;0;0;0;1;1;2;3;0.57;3.71535229097173;0.0200000000000005;1.0471285480509;2.90734786418947;807.881873952997;2.83093864438537;677.545779536444;-1.48099755337649;0.03303714021983
Oligochaeta;TUBIFICIDAE;[Fam:TUBIFICIDAE];Potamothrix;moldaviensis;VEJDOVSK_ & MRAZEK, 1902;Potamothrix;0;0;0;1;1;3;0;0;1;0;0;3;3;3;0;3;0;0;0;3;0;0;0;1;1;0;0;0;0;1;0;0;3;3;0;0;0;0;0;0;0;0;3;1;0;0;1;3;0;1;0;0;0;0;0;1;3;0;0;0;0;0;0;2;3;1;0;0;3;0;1;1;1;2;2;2;0;3;3;0;0;1;2;3;2;0;0;1;1;3;2;3;3;2;0;2;3;3;2;0;1;3;0;0;2;3;1;0;0;0;1;1;3;0.18;1.51356124843621;-0.82;0.151356124843621;3.87133106428105;7435.85760060259;1.90970715903931;81.2282616417759;1.17397521330225;14.9270921303726
Ephemeroptera;BAETIDAE;BAETINAE;Baetis;sp.;NA;Baetis;0;0;3;1;0;0;0;3;0;0;2;3;3;3;0;0;0;0;1;3;0;0;0;0;3;2;1;3;2;0;0;0;2;1;2;0;0;0;0;0;3;4;0;1;0;0;0;2;2;5;1;1;0;0;0;0;1;0;3;0;0;0;0;4;3;0;0;1;1;0;3;4;4;4;3;2;0;1;3;2;1;4;2;1;0;5;0;3;1;0;0;2;3;2;3;3;3;3;1;0;0;3;1;2;3;1;0;1;1;1;2;3;3;0.195;1.56675107010815;-0.32;0.478630092322639;2.78796228721035;613.708710284485;3.03623452949747;1087.01247810709;-1.08001497469863;0.0831735091951564
Coleoptera;ELMIDAE;ELMINAE;Elmis;sp. Ad. / Lv.;NA;Elmis;0;3;0;0;0;0;0;1;3;0;3;0;3;3;0;2;0;0;0;3;0;0;0;0;2;1;0;2;0;0;0;0;3;1;3;3;0;0;1;0;0;4;0;1;0;0;0;1;0;3;0;0;0;0;0;0;0;1;3;0;0;0;0;3;3;0;0;0;0;0;1;3;3;3;1;0;0;0;3;1;1;3;3;1;0;3;0;0;0;0;0;3;3;3;3;2;0;3;0;1;0;3;1;3;2;0;0;0;0;1;1;1;3;0.39;2.45470891568503;-0.0299999999999998;0.933254300796991;2.87261994967296;745.795828162745;2.81110375155675;647.297234509056;-0.637702497837679;0.230301890049776
Crustacea;GAMMARIDAE;[Fam:GAMMARIDAE];Gammarus;sp.;NA;Gammarus;0;0;0;2;2;0;0;1;3;0;0;3;3;3;0;3;3;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;3;0;3;0;0;0;0;0;2;3;0;1;0;0;0;1;5;2;1;2;2;1;0;0;0;3;1;0;0;0;0;3;4;1;0;1;2;0;2;2;2;2;2;2;2;1;3;3;0;5;3;2;1;3;2;4;4;0;1;2;3;1;3;3;0;3;1;1;0;3;1;2;3;2;0;1;1;2;2;2;3;0.57;3.71535229097173;-0.99;0.102329299228076;3.90919489758864;8113.25073127902;1.60381625468826;40.1620853446002;-0.0809264876315978;0.82999124698452
Hirudinea;GLOSSIPHONIIDAE;GLOSSIPHONIINAE;Glossiphonia;sp.;NA;Glossiphonia;0;0;0;3;3;0;0;1;3;0;3;0;3;3;0;2;2;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;3;0;1;2;2;3;0;0;3;0;2;3;3;2;2;2;0;3;3;0;0;4;3;0;0;3;0;0;1;0;2;2;2;1;0;3;1;3;1;0;0;3;0;1;3;2;0;0;1;1;1;2;3;0.055;1.13501081567232;-0.37;0.426579518801593;3.86234133410984;7283.52028520978;2.39684519543629;249.370568541354;-0.613611655274794;0.243437985072568
Coleoptera;ELMIDAE;ELMINAE;Limnius;sp. Ad. / Lv.;NA;Limnius;0;3;0;0;0;0;0;1;3;0;3;0;3;3;0;2;0;0;0;3;0;0;0;0;2;1;0;2;0;0;0;0;3;1;3;3;0;0;1;0;0;4;0;1;0;0;0;1;0;3;0;0;0;0;0;0;0;1;3;0;0;0;0;3;3;0;0;0;0;0;1;3;3;3;1;0;0;0;3;1;0;2;3;3;1;3;0;0;0;0;0;3;3;2;3;2;0;3;0;1;0;3;0;3;3;0;0;0;1;1;2;3;3;0.39;2.45470891568503;-0.0299999999999998;0.933254300796991;2.86592094527878;734.380176602504;2.81666944372963;655.646041883217;-0.597772692592394;0.252480189451587
Gastropoda;HYDROBIIDAE;[Fam:HYDROBIIDAE];Potamopyrgus;antipodarum;GRAY, 1843;Potamopyrgus;0;3;2;0;0;0;0;3;1;0;1;3;3;0;0;3;3;0;0;0;0;0;0;0;3;2;2;0;0;0;0;1;0;1;3;0;0;0;0;0;0;3;1;0;0;0;0;0;4;2;3;0;0;0;0;0;0;3;2;0;0;0;0;2;3;1;0;0;1;0;0;0;0;0;2;4;3;2;3;0;0;3;2;1;1;3;3;0;0;4;2;3;3;0;0;2;3;2;3;0;1;3;0;0;2;2;1;0;0;0;0;0;3;0.57;3.71535229097173;-0.149999999999999;0.707945784384139;4.22382170080651;16742.5537093166;2.48161120134272;303.117633281152;1.32531712766712;21.1503290154216
