"Taxa";"Theodoxus fluviatilis";"Ancylus fluviatilis";"Caenis";"Potamothrix";"Baetis";"Elmis";"Gammarus";"Glossiphonia";"Limnius";"Potamopyrgus";"Ephemerella"
"Theodoxus fluviatilis";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Ancylus fluviatilis";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Caenis";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Potamothrix";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Baetis";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Elmis";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Gammarus";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Glossiphonia";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"0";"-0.8";"-0.8";"-0.8"
"Limnius";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Potamopyrgus";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Ephemerella";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
