"Taxa";"Theodoxus fluviatilis";"Ancylus fluviatilis";"Caenis";"Potamothrix";"Baetis";"Elmis";"Gammarus";"Glossiphonia";"Limnius";"Potamopyrgus";"Ephemerella"
"Theodoxus fluviatilis";"0";"0";"0";"0";"0";"0";"0";"0.801194734257288";"0";"0";"0"
"Ancylus fluviatilis";"0";"0";"0";"0";"0";"0";"0";"0.679570457114761";"0";"0";"0"
"Caenis";"0";"0";"0";"0";"0";"0";"0";"0.995931257578265";"0";"0";"0"
"Potamothrix";"0";"0";"0";"0";"0";"0";"0";"0.101392669509613";"0";"0";"0"
"Baetis";"0";"0";"0";"0";"0";"0";"0";"0.801194734257288";"0";"0";"0"
"Elmis";"0";"0";"0";"0";"0";"0";"0";"0.827728742635745";"0";"0";"0"
"Gammarus";"0";"0";"0";"0";"0";"0";"0";"0.280105566896129";"0";"0";"0"
"Glossiphonia";"-0.640955787405831";"-0.543656365691809";"-0.796745006062612";"-0.0811141356076903";"-0.640955787405831";"-0.662182994108596";"-0.224084453516903";"0";"-0.662182994108596";"-0.796112356913432";"-0.741924571815058"
"Limnius";"0";"0";"0";"0";"0";"0";"0";"0.827728742635745";"0";"0";"0"
"Potamopyrgus";"0";"0";"0";"0";"0";"0";"0";"0.99514044614179";"0";"0";"0"
"Ephemerella";"0";"0";"0";"0";"0";"0";"0";"0.927405714768822";"0";"0";"0"
