"Taxa";"Baetis";"Caenis";"Ecdyonurus";"Elmis";"Esolus";"Gammarus";"Hydropsyche";"Hydroptila";"Leuctra";"Limnius";"Rhyacophila";"Riolus";"Ephemerella";"Chironomidae";"Limoniidae";"Oligochaeta";"Simuliidae"
"Baetis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0.632792042654303";"0";"0";"0";"0";"0";"0"
"Caenis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Ecdyonurus";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0.350771348726079";"0";"0";"0";"0";"0";"0"
"Elmis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Esolus";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gammarus";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hydropsyche";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0.350771348726079";"0";"0";"0";"0";"0";"0"
"Hydroptila";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0.995358396053163";"0";"0";"0";"0";"0";"0"
"Leuctra";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0.632792042654303";"0";"0";"0";"0";"0";"0"
"Limnius";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Rhyacophila";"-0.506233634123442";"0";"-0.280617078980863";"0";"0";"0";"-0.280617078980863";"-0.79628671684253";"-0.506233634123442";"0";"0";"0";"-0.626376770298603";"-0.510574086230703";"-0.378965359452761";"0";"-0.71427056975308"
"Riolus";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Ephemerella";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0.782970962873253";"0";"0";"0";"0";"0";"0"
"Chironomidae";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0.638217607788378";"0";"0";"0";"0";"0";"0"
"Limoniidae";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0.473706699315951";"0";"0";"0";"0";"0";"0"
"Oligochaeta";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Simuliidae";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0.89283821219135";"0";"0";"0";"0";"0";"0"
