"Taxa";"Ancylus fluviatilis";"Hydraena";"Isoperla";"Leuctra";"Protonemura";"Rhyacophila";"Sericostoma";"Agapetus";"Heptagenia";"Ithytrichia";"Baetis";"Elmis";"Hydropsyche";"Limnius";"Polycentropus";"Chironomidae";"Halesus"
"Ancylus fluviatilis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hydraena";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Isoperla";"0";"0";"0";"-0.359591073426686";"0";"0";"-0.182629629622197";"0";"-0.182629629622197";"0";"-0.359591073426686";"0";"0";"0";"0";"-0.36335730475723";"0"
"Leuctra";"0";"0";"0.449488841783357";"0";"0";"0.632792042654303";"0";"0";"0";"0";"0";"0";"0";"0";"0.449488841783357";"0";"0"
"Protonemura";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Rhyacophila";"0";"0";"0";"-0.506233634123442";"0";"0";"-0.280617078980863";"0";"-0.280617078980863";"-0.780222982624793";"-0.506233634123442";"0";"-0.280617078980863";"0";"0";"-0.510574086230703";"0"
"Sericostoma";"0";"0";"0.228287037027747";"0";"0";"0.350771348726079";"0";"0";"0";"0";"0";"0";"0";"0";"0.228287037027747";"0";"0"
"Agapetus";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Heptagenia";"0";"0";"0.228287037027747";"0";"0";"0.350771348726079";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Ithytrichia";"0";"0";"0";"0";"0";"0.975278728280991";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Baetis";"0";"0";"0.449488841783357";"0";"0";"0.632792042654303";"0";"0";"0";"0";"0";"0";"0";"0";"0.449488841783357";"0";"0"
"Elmis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hydropsyche";"0";"0";"0";"0";"0";"0.350771348726079";"0";"0";"0";"0";"0";"0";"0";"0";"0.228287037027747";"0";"0"
"Limnius";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Polycentropus";"0";"0";"0";"-0.359591073426686";"0";"0";"-0.182629629622197";"0";"0";"0";"-0.359591073426686";"0";"-0.182629629622197";"0";"0";"-0.36335730475723";"0"
"Chironomidae";"0";"0";"0.454196630946537";"0";"0";"0.638217607788378";"0";"0";"0";"0";"0";"0";"0";"0";"0.454196630946537";"0";"0.957790715163685"
"Halesus";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-0.766232572130948";"0"
