"Taxa";"Ancylus fluviatilis";"Hydraena";"Isoperla";"Leuctra";"Protonemura";"Rhyacophila";"Sericostoma";"Agapetus";"Heptagenia";"Ithytrichia";"Baetis";"Elmis";"Hydropsyche";"Limnius";"Polycentropus";"Chironomidae";"Halesus"
"Ancylus fluviatilis";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
"Hydraena";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
"Isoperla";"-0.8";"-0.8";"0";"-0.8";"-0.8";"0";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"0";"-0.8";"0"
"Leuctra";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
"Protonemura";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
"Rhyacophila";"-0.8";"-0.8";"0";"-0.8";"-0.8";"0";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"0";"-0.8";"0"
"Sericostoma";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
"Agapetus";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
"Heptagenia";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
"Ithytrichia";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
"Baetis";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
"Elmis";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
"Hydropsyche";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
"Limnius";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
"Polycentropus";"-0.8";"-0.8";"0";"-0.8";"-0.8";"0";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"0";"-0.8";"0"
"Chironomidae";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
"Halesus";"-0.8";"-0.8";"0";"-0.8";"-0.8";"0";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"0";"-0.8";"0"
