"Taxa";"Ancylus fluviatilis";"Hydraena";"Isoperla";"Leuctra";"Protonemura";"Rhyacophila";"Sericostoma";"Agapetus";"Heptagenia";"Ithytrichia";"Baetis";"Elmis";"Hydropsyche";"Limnius";"Polycentropus";"Chironomidae";"Halesus"
"Ancylus fluviatilis";"0";"0";"0.350771348726078";"0";"0";"0.513399494345205";"0";"0";"0";"0";"0";"0";"0";"0";"0.350771348726078";"0";"0.865659573802078"
"Hydraena";"0";"0";"0.983081959651552";"0";"0";"0.975278728280991";"0";"0";"0";"0";"0";"0";"0";"0";"0.983081959651552";"0";"0.541341132946451"
"Isoperla";"-0.280617078980863";"-0.786465567721242";"0";"-0.359591073426686";"-0.359591073426686";"0";"-0.182629629622197";"-0.471658204990573";"-0.182629629622197";"-0.786465567721242";"-0.359591073426686";"-0.786465567721242";"-0.182629629622197";"-0.786465567721242";"0";"-0.36335730475723";"0"
"Leuctra";"0";"0";"0.449488841783357";"0";"0";"0.632792042654303";"0";"0";"0";"0";"0";"0";"0";"0";"0.449488841783357";"0";"0.954767806490413"
"Protonemura";"0";"0";"0.449488841783357";"0";"0";"0.632792042654303";"0";"0";"0";"0";"0";"0";"0";"0";"0.449488841783357";"0";"0.954767806490413"
"Rhyacophila";"-0.410719595476164";"-0.780222982624793";"0";"-0.506233634123442";"-0.506233634123442";"0";"-0.280617078980863";"-0.626376770298603";"-0.280617078980863";"-0.780222982624793";"-0.506233634123442";"-0.780222982624793";"-0.280617078980863";"-0.780222982624793";"0";"-0.510574086230703";"0"
"Sericostoma";"0";"0";"0.228287037027747";"0";"0";"0.350771348726079";"0";"0";"0";"0";"0";"0";"0";"0";"0.228287037027747";"0";"0.679570457114761"
"Agapetus";"0";"0";"0.589572756238217";"0";"0";"0.782970962873253";"0";"0";"0";"0";"0";"0";"0";"0";"0.589572756238217";"0";"1"
"Heptagenia";"0";"0";"0.228287037027747";"0";"0";"0.350771348726079";"0";"0";"0";"0";"0";"0";"0";"0";"0.228287037027747";"0";"0.679570457114761"
"Ithytrichia";"0";"0";"0.983081959651552";"0";"0";"0.975278728280991";"0";"0";"0";"0";"0";"0";"0";"0";"0.983081959651552";"0";"0.541341132946451"
"Baetis";"0";"0";"0.449488841783357";"0";"0";"0.632792042654303";"0";"0";"0";"0";"0";"0";"0";"0";"0.449488841783357";"0";"0.954767806490413"
"Elmis";"0";"0";"0.983081959651552";"0";"0";"0.975278728280991";"0";"0";"0";"0";"0";"0";"0";"0";"0.983081959651552";"0";"0.541341132946451"
"Hydropsyche";"0";"0";"0.228287037027747";"0";"0";"0.350771348726079";"0";"0";"0";"0";"0";"0";"0";"0";"0.228287037027747";"0";"0.679570457114761"
"Limnius";"0";"0";"0.983081959651552";"0";"0";"0.975278728280991";"0";"0";"0";"0";"0";"0";"0";"0";"0.983081959651552";"0";"0.541341132946451"
"Polycentropus";"-0.280617078980863";"-0.786465567721242";"0";"-0.359591073426686";"-0.359591073426686";"0";"-0.182629629622197";"-0.471658204990573";"-0.182629629622197";"-0.786465567721242";"-0.359591073426686";"-0.786465567721242";"-0.182629629622197";"-0.786465567721242";"0";"-0.36335730475723";"0"
"Chironomidae";"0";"0";"0.454196630946537";"0";"0";"0.638217607788378";"0";"0";"0";"0";"0";"0";"0";"0";"0.454196630946537";"0";"0.957790715163685"
"Halesus";"-0.692527659041663";"-0.433072906357161";"0";"-0.763814245192331";"-0.763814245192331";"0";"-0.543656365691809";"-0.8";"-0.543656365691809";"-0.433072906357161";"-0.763814245192331";"-0.433072906357161";"-0.543656365691809";"-0.433072906357161";"0";"-0.766232572130948";"0"
