"nodes";"posoutlet";"Xnode";"Ynode";"width";"depth";"lengs";"vel"
1;15;1.5;2.5;0.0911086233569578;0.147111826511261;2.82842712474619;0.619315424990552
2;15;1.5;16.5;0.0765465544619743;0.127979531942451;1.4142135623731;0.598115599425658
3;15;1.5;22.5;0.0698771242968684;0.118978371169742;1.4142135623731;0.587309471544009
4;15;1.5;30.5;0.0883883476483184;0.143587294374629;2.41421356237309;0.615572206672458
5;15;2.5;9.5;0.0765465544619743;0.127979531942451;1.4142135623731;0.598115599425658
6;15;2.5;12.5;0.0765465544619743;0.127979531942451;1.4142135623731;0.598115599425658
7;15;2.5;15.5;0.664751480818208;0.721319130924813;2.41421356237309;0.921577499221351
8;15;2.5;19.5;0.0883883476483184;0.143587294374629;2.82842712474619;0.615572206672458
9;15;2.5;23.5;0.121030729568982;0.184636058691424;1.4142135623731;0.655509711519875
10;15;2.5;24.5;0.0698771242968684;0.118978371169742;1;0.587309471544009
11;15;3.5;4.5;0.921477668611671;0.936672676901666;3.82842712474619;0.983777675313155
12;15;3.5;8.5;0.905171772372515;0.9233892232982;5.65685424949238;0.980271102947666
13;15;3.5;13.5;0.678204200444085;0.732973680247387;4.41421356237309;0.925277699214497
14;15;3.5;22.5;0.33729739288942;0.419189492019239;3.82842712474619;0.804641813096641
15;15;4.5;0.5;1;1;0;1
16;15;4.5;9.5;0.894863816454772;0.914967268812132;1.4142135623731;0.978028227847474
17;15;4.5;17.5;0.653267030011465;0.711332402616164;2.82842712474619;0.918370972008102
18;15;5.5;1.5;0.996086090656827;0.996867645107823;1.4142135623731;0.999215989750664
19;15;5.5;18.5;0.641957455755442;0.701463370600543;1.4142135623731;0.915168892148771
20;15;5.5;19.5;0.357672598195612;0.43932764823356;1;0.814136327712894
21;15;5.5;25.5;0.291480595409025;0.372981866881798;3.82842712474619;0.781487308876061
22;15;5.5;30.5;0.0826797284707685;0.136119151530174;2.82842712474619;0.607407022019533
23;15;7.5;2.5;0.365103795173373;0.446614766263112;2.41421356237309;0.817491544733836
24;15;7.5;11.5;0.570686948992177;0.638437447566845;3.82842712474619;0.89388075710021
25;15;7.5;18.5;0.528023289022369;0.599960229216935;2;0.880097151958792
26;15;7.5;21.5;0.0796721798998873;0.132143364446322;2.82842712474619;0.602922289997019
27;15;7.5;27.5;0.21875;0.29645477461271;2.82842712474619;0.737886580797276
28;15;7.5;28.5;0.179517582704313;0.253096181705981;1;0.70928601725354
29;15;8.5;1.5;0.0698771242968684;0.118978371169742;1.4142135623731;0.587309471544009
30;15;8.5;5.5;0.0883883476483184;0.143587294374629;1.4142135623731;0.615572206672458
31;15;8.5;12.5;0.09375;0.150514042830043;1.4142135623731;0.622865469807759
32;15;8.5;19.5;0.0698771242968684;0.118978371169742;1.4142135623731;0.587309471544009
33;15;9.5;4.5;0.346579265825294;0.428392700262308;2.82842712474619;0.809022342381374
34;15;9.5;25.5;0.0826797284707685;0.136119151530174;2.82842712474619;0.607407022019533
35;15;10.5;4.5;0.324759526419165;0.406676914199137;1;0.798568876373789
36;15;10.5;17.5;0.514439926036073;0.587580986038496;4.24264068711929;0.875521737870477
37;15;11.5;3.5;0.309359216769115;0.391174420287867;1.4142135623731;0.790847255660163
38;15;11.5;5.5;0.0883883476483184;0.143587294374629;1.4142135623731;0.615572206672458
39;15;11.5;11.5;0.551099752767137;0.620846408238671;4.82842712474619;0.887658759805982
40;15;11.5;12.5;0.0698771242968684;0.118978371169742;1;0.587309471544009
41;15;11.5;16.5;0.0698771242968684;0.118978371169742;1.4142135623731;0.587309471544009
42;15;11.5;20.5;0.0765465544619743;0.127979531942451;1.4142135623731;0.598115599425658
43;15;11.5;29.5;0.114819831692961;0.177016408367794;5.24264068711928;0.648639483490116
44;15;12.5;2.5;0.0883883476483184;0.143587294374629;1.4142135623731;0.615572206672458
45;15;12.5;19.5;0.498043045328413;0.572550112042562;2.82842712474619;0.869868042731935
46;15;12.5;25.5;0.101261573412623;0.160086878678495;3.82842712474619;0.632541369089894
47;15;13.5;4.5;0.287262129857035;0.36865718360304;2.41421356237309;0.779212077327512
48;15;13.5;13.5;0.0698771242968684;0.118978371169742;1.4142135623731;0.587309471544009
49;15;13.5;20.5;0.482101519391922;0.557841474539411;1.4142135623731;0.864226740742028
50;15;14.5;12.5;0.529869529931662;0.601637858797316;4.24264068711929;0.880711747413767
51;15;14.5;20.5;0.3903123748999;0.471118172531823;1;0.828480830621186
52;15;14.5;22.5;0.270632938682637;0.351483160356905;2.41421356237309;0.769974124529408
53;15;14.5;29.5;0.108253175473055;0.168870004815077;3.82842712474619;0.641044426993408
54;15;15.5;15.5;0.0796721798998873;0.132143364446322;2.82842712474619;0.602922289997019
55;15;15.5;19.5;0.0765465544619743;0.127979531942451;1.4142135623731;0.598115599425658
56;15;16.5;12.5;0.513489897661093;0.586712745849731;2;0.875198129397053
57;15;16.5;26.5;0.21537576175141;0.292790823519917;4.82842712474619;0.735596010702018
58;15;17.5;8.5;0.121030729568982;0.184636058691424;5.65685424949238;0.655509711519875
59;15;17.5;11.5;0.0826797284707685;0.136119151530174;1.4142135623731;0.607407022019533
60;15;17.5;13.5;0.502921154357221;0.577032032994565;1.4142135623731;0.871565399493095
61;15;17.5;30.5;0.11267347735825;0.174364214743068;5.24264068711928;0.646196110390416
62;15;18.5;3.5;0.191366386154936;0.266374424501196;2.41421356237309;0.718411260815608
63;15;18.5;15.5;0.09375;0.150514042830043;2.41421356237309;0.622865469807759
64;15;19.5;20.5;0.369094119094304;0.450515461514758;5.82842712474619;0.819270703503287
65;15;20.5;5.5;0.103644524698606;0.16309366470493;2.82842712474619;0.63549080760507
66;15;20.5;9.5;0.0765465544619743;0.127979531942451;2.41421356237309;0.598115599425658
67;15;20.5;12.5;0.477010547577305;0.553123850832257;3.41421356237309;0.862393742124067
68;15;20.5;19.5;0.0765465544619743;0.127979531942451;1.4142135623731;0.598115599425658
69;15;20.5;21.5;0.346579265825294;0.428392700262308;1.4142135623731;0.809022342381374
70;15;21.5;11.5;0.354931771612517;0.436632342068302;1.4142135623731;0.812884748599304
71;15;22.5;1.5;0.108253175473055;0.168870004815077;4.82842712474619;0.641044426993408
72;15;22.5;26.5;0.298923851089203;0.380582184832737;5.82842712474619;0.785438370481209
73;15;22.5;29.5;0.0826797284707685;0.136119151530174;1.4142135623731;0.607407022019533
74;15;23.5;10.5;0.33729739288942;0.419189492019239;2.41421356237309;0.804641813096641
75;15;23.5;21.5;0.11267347735825;0.174364214743068;3.82842712474619;0.646196110390416
76;15;23.5;28.5;0.247052942200655;0.326762360184773;2.41421356237309;0.756063036333055
77;15;24.5;5.5;0.0698771242968684;0.118978371169742;1.4142135623731;0.587309471544009
78;15;24.5;14.5;0.295638873881633;0.377232612648937;4.82842712474619;0.783704441155416
79;15;24.5;16.5;0.0765465544619743;0.127979531942451;1.4142135623731;0.598115599425658
80;15;25.5;2.5;0.0988211768802619;0.156992901969349;2.82842712474619;0.629462705897084
81;15;25.5;6.5;0.236964857626611;0.31604371286262;4.82842712474619;0.749785070806382
82;15;25.5;13.5;0.0698771242968684;0.118978371169742;1.4142135623731;0.587309471544009
83;15;25.5;15.5;0.272431183971292;0.353350291768291;1.4142135623731;0.770994648420832
84;15;25.5;24.5;0.0963189687963903;0.153804647769868;3.82842712474619;0.626242250757654
85;15;26.5;10.5;0.204919953884438;0.281363267974315;3;0.728310967383078
86;15;26.5;28.5;0.20131404260508;0.277395400678523;3.82842712474619;0.725729561891279
87;15;27.5;4.5;0.200097632419777;0.276053692108976;2.82842712474619;0.724850411856782
88;15;27.5;16.5;0.249021522664207;0.32884368592833;2.41421356237309;0.757264114593583
89;15;28.5;15.5;0.0698771242968684;0.118978371169742;1.4142135623731;0.587309471544009
90;15;28.5;17.5;0.220970869120796;0.298860156184387;1.4142135623731;0.739378818314157
91;15;28.5;26.5;0.0855816496101822;0.139927966466888;2.82842712474619;0.611612187120819
92;15;29.5;7.5;0.125;0.1894645708138;4.24264068711929;0.659753955386447
93;15;29.5;12.5;0.114819831692961;0.177016408367794;3.82842712474619;0.648639483490116
94;15;29.5;16.5;0.0765465544619743;0.127979531942451;1.4142135623731;0.598115599425658
95;15;29.5;29.5;0.121030729568982;0.184636058691424;3.41421356237309;0.655509711519875
96;15;30.5;1.5;0.116926793336686;0.179610297251759;4.24264068711929;0.651002727158734
97;15;30.5;23.5;0.108253175473055;0.168870004815077;3.82842712474619;0.641044426993408
98;15;2.5;28.5;0.146575492494482;0.215203380775097;4.24264068711929;0.681102183276872
