"country","degree","site_id","n_species","n_prey","n_predators","taxas_prey","taxas_predators","mean_abund_prey","mean_abund_predator","sd_abund_prey","sd_abund_predator"
"fr","high","00073",63,32,31,"Agapetus_Antocha_Arrenuridae_Asellidae_Baetidae_Baetis_Bithyniidae_Bythinellidae_Caenidae_Ceratopogonidae_Dugesiidae_Ephemeridae_Glossosomatidae_Goeridae_Haliplus_Heptageniidae_Hydroptilidae_Lepidostomatidae_Leuctra_Lymnaeidae_Micronectidae_Mystacides_Paraleptophlebia_Piscicolidae_Planorbidae_Psychodidae_Psychomyiidae_Radix_Scirtidae_Sphaeriidae_Tortricidae_Valvatidae","Armiger_Calopteryx_Chironomidae_Cyrnus_Dendrocoelum_Dicranota_Dytiscidae_Elmidae_Empididae_Erpobdellidae_Gammarus_Glossiphonia_Glossiphoniidae_Helobdella_Hydraenidae_Hydropsyche_Hydropsychidae_Leptoceridae_Leptophlebiidae_Limnephilidae_Limoniidae_Odontocerum_Polycelis_Polycentropodidae_Polycentropus_Rhyacophila_Sericostoma_Sericostomatidae_Serratella_Sialis_Simuliidae",34.875,159.91935483871,68.9263281314,444.619164693677
"fr","high","00136",46,27,19,"Acroloxidae_Agapetus_Arrenuridae_Asellidae_Athericidae_Baetidae_Baetis_Bithyniidae_Ceratopogonidae_Dugesiidae_Echinogammarus_Ephemerella_Ephemeridae_Goeridae_Haliplus_Hydroptilidae_Lepidostomatidae_Leuctra_Mystacides_Neritidae_Planorbidae_Potamopyrgus_Psychomyiidae_Radix_Sphaeriidae_Sphaerium_Valvatidae","Calopteryx_Chironomidae_Curculionidae_Dendrocoelidae_Elmidae_Erpobdellidae_Gammaridae_Gammarus_Glossiphoniidae_Gyrinidae_Hydraenidae_Hydropsyche_Limnephilidae_Planariidae_Polycentropus_Rhyacophila_Sericostoma_Sericostomatidae_Simuliidae",59.037037037037,42,192.668404156244,69.1672690736819
"fr","high","00248",54,25,29,"Agapetus_Arrenuridae_Athericidae_Baetis_Bythinellidae_Ceratopogonidae_Dixidae_Ephemerella_Goeridae_Heptageniidae_Hydroptilidae_Lepidostomatidae_Leuctra_Leuctridae_Nemouridae_Planorbidae_Psychodidae_Psychomyiidae_Sciomyzidae_Scirtidae_Sphaeriidae_Tabanidae_Uenoidae_Valvatidae_Veliidae","Chironomidae_Cordulegaster_Curculionidae_Dicranota_Elmidae_Empididae_Gammaridae_Gammarus_Helophorus_Hydraenidae_Hydrobiidae_Hydrophilidae_Hydropsyche_Isoperla_Leptophlebiidae_Limnephilidae_Limoniidae_Odontocerum_Perlodidae_Philopotamidae_Planariidae_Plectrocnemia_Polycelis_Rhyacophila_Sericostoma_Sericostomatidae_Serratella_Sialis_Simuliidae",53.84,65.7413793103448,161.257992050007,113.930321805044
"fr","high","00257",47,24,23,"Asellidae_Baetidae_Baetis_Ceratopogonidae_Dryopidae_Ephemerella_Ephemeridae_Galba_Heptageniidae_Hydroptilidae_Leuctra_Mermithidae_Mystacides_Nemouridae_Paraleptophlebia_Physella_Physidae_Planorbidae_Platycnemis_Psychodidae_Psychomyiidae_Sphaeriidae_Tabanidae_Taeniopterygidae","Athripsodes_Calopteryx_Chironomidae_Chloroperlidae_Cordulegaster_Elmidae_Empididae_Gammarus_Gerris_Gomphidae_Hydraenidae_Hydrobiidae_Hydropsyche_Isoperla_Leptophlebiidae_Limnephilidae_Limoniidae_Polycentropus_Potamopyrgus_Rhyacophila_Sericostoma_Simuliidae_Tipulidae",95.0416666666667,4805.78260869565,358.90321805124,22893.4449489895
"fr","high","00279",45,18,27,"Arrenuridae_Asellidae_Baetidae_Baetis_Ceratopogonidae_Dryopidae_Galba_Haliplus_Heptageniidae_Micronectidae_Nemouridae_Paraleptophlebia_Physella_Planorbidae_Psychodidae_Radix_Siphlonuridae_Sphaeriidae","Anacaena_Chironomidae_Dicranota_Dolichopodidae_Elmidae_Empididae_Ephydridae_Gammaridae_Gammarus_Glossiphonia_Helophorus_Hydraenidae_Hydrophilidae_Hydroporus_Isoperla_Leptophlebiidae_Lestidae_Limnephilidae_Limnophora_Limoniidae_Polycelis_Rhyacophila_Serratella_Sialis_Simuliidae_Tabanidae_Tipulidae",34.0555555555556,92.6666666666667,91.2143385414572,287.791992190941
"fr","high","00462",26,11,15,"Arrenuridae_Asellidae_Baetis_Ceratopogonidae_Dryopidae_Ephemerella_Ephemeridae_Hydrometridae_Radix_Tabanidae_Veliidae","Calopteryx_Chironomidae_Cordulegaster_Dytiscidae_Elmidae_Gammarus_Gerris_Hydraenidae_Hydropsyche_Leptophlebiidae_Limnephilidae_Limoniidae_Potamopyrgus_Sialis_Tipulidae",23.3636363636364,72.7333333333333,35.867179223554,232.959366986319
"fr","high","00524",47,21,26,"Arrenuridae_Athericidae_Baetis_Caenidae_Ceratopogonidae_Dixidae_Ephemeridae_Goeridae_Heptageniidae_Micronectidae_Mystacides_Paraleptophlebia_Planorbidae_Platycnemis_Potamopyrgus_Psychomyiidae_Ptychopteridae_Sphaeriidae_Succineidae_Tabanidae_Veliidae","Calopteryx_Chironomidae_Dendrocoelidae_Dendrocoelum_Dicranota_Dytiscidae_Elmidae_Erpobdellidae_Gammaridae_Gammarus_Gerris_Glossiphonia_Gomphus_Gyrinidae_Hydraenidae_Hydropsyche_Libellula_Limnephilidae_Limoniidae_Nepidae_Polycentropodidae_Polycentropus_Sericostoma_Sericostomatidae_Sialis_Simulium",15.1666666666667,44.2692307692308,33.4044657693149,121.057773874232
"fr","high","00537",29,13,16,"Baetidae_Baetis_Caenidae_Ceratopogonidae_Echinogammarus_Ephemeridae_Haliplus_Micronectidae_Planorbidae_Platycnemis_Sphaeriidae_Sphaerium_Tabanidae","Athripsodes_Chironomidae_Coenagrionidae_Corixidae_Dytiscidae_Erpobdellidae_Gammaridae_Gammarus_Glossiphonia_Glossiphoniidae_Lestidae_Limnephilidae_Limoniidae_Serratella_Sialis_Sigara",24.6923076923077,61.1875,34.2889307099357,228.787592539456
"fr","high","00592",38,20,18,"Agapetus_Arrenuridae_Asellidae_Baetis_Bythinellidae_Ceratopogonidae_Dixidae_Echinogammarus_Ephemeridae_Glossosomatidae_Goeridae_Hydroptilidae_Planorbidae_Potamopyrgus_Psychodidae_Psychomyiidae_Scirtidae_Sphaeriidae_Stratiomyidae_Veliidae","Athripsodes_Calopteryx_Chironomidae_Dendrocoelum_Dicranota_Dytiscidae_Elmidae_Erpobdellidae_Gammaridae_Gammarus_Glossiphonia_Hydropsyche_Limnephilidae_Plectrocnemia_Polycelis_Rhyacophila_Simuliidae_Simulium",46.7333333333333,106.981481481481,110.018252074252,202.048689279357
"fr","high","00637",51,28,23,"Agapetus_Arrenuridae_Asellidae_Athericidae_Baetidae_Baetis_Bithyniidae_Caenidae_Ceratopogonidae_Dryopidae_Dugesiidae_Echinogammarus_Ephemeridae_Glossosomatidae_Goeridae_Hydroptilidae_Ichneumonidae_Lepidostomatidae_Leuctra_Neritidae_Niphargidae_Piscicolidae_Planorbidae_Potamopyrgus_Sphaeriidae_Sphaerium_Tabanidae_Valvatidae","Anabolia_Athripsodes_Calopteryx_Chironomidae_Dendrocoelum_Elmidae_Empididae_Erpobdellidae_Gammaridae_Gammarus_Glossiphonia_Gyrinidae_Halesus_Limnephilidae_Limoniidae_Odontocerum_Polycelis_Polycentropus_Sericostoma_Sericostomatidae_Serratella_Sialis_Simuliidae",38.8035714285714,110.608695652174,119.191826348345,251.847534889741
