"country","degree","site_id","n_species","n_prey","n_predators","taxas_prey","taxas_predators","mean_abund_prey","mean_abund_predator","sd_abund_prey","sd_abund_predator"
"fr","mid","00253",17,7,10,"Asellidae_Baetis_Hydroptilidae_Physa_Physella_Potamopyrgus_Sphaeriidae","Calopteryx_Chironomidae_Erpobdellidae_Gammarus_Glossiphonia_Helobdella_Limnophora_Rhyacophila_Simuliidae_Tipulidae",21.7142857142857,314.6,29.1130800255045,657.276738604913
"fr","mid","00265",37,16,21,"Arrenuridae_Asellidae_Baetidae_Baetis_Caenidae_Ceratopogonidae_Dugesiidae_Ephemeridae_Leuctridae_Planorbidae_Platycnemis_Potamopyrgus_Psychodidae_Psychomyiidae_Sisyridae_Sphaeriidae","Calopteryx_Chironomidae_Dicranota_Dolichopodidae_Elmidae_Empididae_Erpobdellidae_Gammaridae_Gammarus_Helophorus_Hydraenidae_Hydrophilidae_Hydropsyche_Hydropsychidae_Limnephilidae_Planariidae_Rhyacophila_Serratella_Sialis_Simuliidae_Tipulidae",80.875,225.095238095238,174.102986763582,762.97823722318
"fr","mid","00296",33,13,20,"Agapetus_Arrenuridae_Asellidae_Baetidae_Baetis_Ceratopogonidae_Goeridae_Heptageniidae_Planorbidae_Psychodidae_Siphlonuridae_Sphaeriidae_Tabanidae","Athripsodes_Chironomidae_Coenagrionidae_Dicranota_Dytiscidae_Elmidae_Gammaridae_Gammarus_Glossiphonia_Gyrinus_Helophorus_Hydraenidae_Isoperla_Leptophlebiidae_Limnephilidae_Notonecta_Pedicia_Polycentropus_Serratella_Sialis",23.3846153846154,153.45,29.9792663395289,369.833173628042
"fr","mid","00467",19,11,8,"Anthomyiidae_Arrenuridae_Asellidae_Baetis_Caenidae_Ceratopogonidae_Ephemerella_Planorbidae_Potamopyrgus_Sphaeriidae_Sphaerium","Chironomidae_Empididae_Erpobdellidae_Glossiphoniidae_Helophorus_Hydropsyche_Simuliidae_Tipulidae",35.3636363636364,238.375,62.5751911339833,481.320189686658
"fr","mid","00526",23,13,10,"Aphelocheiridae_Asellidae_Athericidae_Baetis_Caenidae_Cyrenidae_Echinogammarus_Ephemeridae_Planorbidae_Platycnemis_Potamopyrgus_Psychomyiidae_Unionidae","Athripsodes_Chironomidae_Coenagrionidae_Ecnomus_Elmidae_Hydropsyche_Limnephilidae_Serratella_Simuliidae_Tipulidae",99.9230769230769,63,302.14882137187,156.782226883874
"fr","mid","00591",60,32,28,"Antocha_Aphelocheiridae_Arrenuridae_Asellidae_Athericidae_Baetidae_Baetis_Bithyniidae_Caenidae_Ceratopogonidae_Cheumatopsyche_Dixidae_Dugesiidae_Echinogammarus_Ephemeridae_Hydroptilidae_Lepidostomatidae_Leuctra_Lymnaeidae_Micronectidae_Mystacides_Piscicolidae_Planorbidae_Platycnemis_Potamopyrgus_Prostomatidae_Psychodidae_Psychomyiidae_Sphaeriidae_Sphaerium_Taeniopterygidae_Unionidae","Athripsodes_Calopteryx_Chironomidae_Cyrnus_Dendrocoelidae_Dendrocoelum_Elmidae_Empididae_Ephydridae_Erpobdellidae_Gammaridae_Gammarus_Glossiphonia_Glossiphoniidae_Gyrinidae_Hydropsyche_Hydropsychidae_Leptoceridae_Limnephilidae_Limoniidae_Oecetis_Polycelis_Polycentropodidae_Polycentropus_Rhyacophila_Serratella_Sialis_Simuliidae",63.546875,97.2857142857143,150.501707169344,263.60683506325
"fr","mid","00678",40,27,13,"Aphelocheiridae_Arrenuridae_Asellidae_Athericidae_Baetidae_Baetis_Brachycentrus_Caenidae_Ceratopogonidae_Cyrenidae_Dugesiidae_Echinogammarus_Ephemeridae_Goeridae_Heptageniidae_Hydroptilidae_Lepidostomatidae_Leuctra_Neritidae_Physella_Piscicolidae_Planorbidae_Potamanthidae_Prostomatidae_Psychomyiidae_Sphaeriidae_Taeniopterygidae","Athripsodes_Calopteryx_Chironomidae_Elmidae_Empididae_Gammaridae_Gammarus_Gomphidae_Hydropsyche_Hydropsychidae_Leptoceridae_Serratella_Simuliidae",20.5925925925926,96.9230769230769,70.0506735591947,145.844358557597
"fr","mid","00772",53,28,25,"Antocha_Aphelocheiridae_Arrenuridae_Asellidae_Astacidae_Athericidae_Baetidae_Baetis_Brachycentrus_Caenidae_Ceratopogonidae_Cheumatopsyche_Cyrenidae_Dugesiidae_Ephemeridae_Ferrissia_Goeridae_Heptageniidae_Hydroptilidae_Leuctra_Leuctridae_Mystacides_Paraleptophlebia_Planorbidae_Psychomyiidae_Scirtidae_Sphaeriidae_Taeniopterygidae","Athripsodes_Calopteryx_Chironomidae_Cyrnus_Dicranota_Elmidae_Empididae_Gammarus_Gomphidae_Gomphus_Hydraenidae_Hydropsyche_Hydropsychidae_Leptoceridae_Leptophlebiidae_Limoniidae_Oecetis_Planariidae_Polycentropodidae_Polycentropus_Potamopyrgus_Rhyacophila_Serratella_Sialis_Simuliidae",35.7857142857143,73.28,122.130882175445,196.215022360675
"fr","mid","00779",24,11,13,"Asellidae_Astacidae_Baetidae_Baetis_Dugesiidae_Echinogammarus_Ephemeridae_Paraleptophlebia_Psychomyiidae_Sphaeriidae_Stratiomyidae","Chironomidae_Dicranota_Elmidae_Empididae_Halesus_Leptophlebiidae_Pedicia_Polycentropus_Potamopyrgus_Rhyacophila_Serratella_Simuliidae_Tipulidae",33.9090909090909,23.3076923076923,59.9156983526931,30.1921198752937
"fr","mid","00780",72,39,33,"Aphelocheiridae_Armiger_Arrenuridae_Asellidae_Athericidae_Baetidae_Baetis_Bithyniidae_Brachycentrus_Caenidae_Ceratopogonidae_Cyrenidae_Dixidae_Dugesiidae_Echinogammarus_Ephemeridae_Fredericellidae_Galba_Goeridae_Haliplus_Hydroptilidae_Lepidostomatidae_Micronectidae_Mystacides_Neritidae_Paludicellidae_Physella_Physidae_Planorbidae_Platycnemis_Potamopyrgus_Prostomatidae_Psychodidae_Psychomyiidae_Radix_Sphaeriidae_Sphaerium_Stratiomyidae_Unionidae","Aeshnidae_Athripsodes_Calopteryx_Cambaridae_Chironomidae_Coenagrionidae_Corduliidae_Cyrnus_Ecnomus_Elmidae_Empididae_Erpobdellidae_Gammaridae_Glossiphonia_Halesus_Helobdella_Hydrophilidae_Hydropsyche_Hydropsychidae_Ischnura_Leptoceridae_Limnephilidae_Oecetis_Philopotamidae_Phryganeidae_Polycentropodidae_Polycentropus_Rhyacophila_Sericostomatidae_Serratella_Sialis_Simuliidae_Simulium",52.6666666666667,72.2575757575758,118.215032291368,182.731621904747
