"country","degree","site_id","n_species","n_prey","n_predators","taxas_prey","taxas_predators","mean_abund_prey","mean_abund_predator","sd_abund_prey","sd_abund_predator"
"ger","high","00169",24,9,15,"Asellidae_Baetis_Ceratopogonidae_Heptageniidae_Lepidostomatidae_Lumbriculidae_Naididae_Planorbidae_Sphaeriidae","Chaetopteryx_Chironomidae_Dicranota_Elmidae_Erpobdella_Gammarus_Glossiphonia_Halesus_Hydropsyche_Leptoceridae_Limnephilidae_Rhyacophila_Sericostoma_Simuliidae_Simulium",19.5555555555556,130.986666666667,10.4641185858044,400.23132929892
"ger","high","00576",23,9,14,"Baetis_Ceratopogonidae_Lumbriculidae_Naididae_Piscicolidae_Planorbidae_Psychodidae_Psychomyiidae_Sphaeriidae","Chironomidae_Dendrocoelum_Dicranota_Elmidae_Erpobdella_Gammarus_Glossiphonia_Glossiphoniidae_Helobdella_Hydropsyche_Limnephilidae_Polycelis_Potamophylax_Simulium",45.6888888888889,73.4857142857143,67.8780606021645,100.113834110076
"ger","high","00583",19,4,15,"Asellidae_Baetis_Eiseniella_Planorbidae","Chaetopteryx_Chironomidae_Dendrocoelum_Dytiscidae_Elmidae_Erpobdella_Gammarus_Halesus_Hydraenidae_Hydropsyche_Potamophylax_Rhyacophila_Sericostoma_Simuliidae_Simulium",137.4,69.6,228.713620057923,112.357795838626
"ger","high","00498",29,14,15,"Asellidae_Baetis_Ceratopogonidae_Dugesiidae_Eiseniella_Haplotaxidae_Hydroptilidae_Lumbricidae_Lumbriculidae_Mystacides_Naididae_Nemoura_Planorbidae_Potamopyrgus","Calopteryx_Chironomidae_Dendrocoelum_Elmidae_Empididae_Erpobdella_Gammarus_Hydraenidae_Hydropsyche_Limnephilus_Polycentropus_Rhyacophila_Simuliidae_Simulium_Tipulidae",50.6285714285714,42.7466666666667,100.505150488546,56.1414268568569
"ger","high","00524",23,10,13,"Asellidae_Baetidae_Baetis_Ceratopogonidae_Eiseniella_Hydroptilidae_Mystacides_Naididae_Psychomyiidae_Sphaeriidae","Chironomidae_Crangonyx_Dendrocoelum_Elmidae_Empididae_Erpobdella_Gammarus_Helobdella_Hydropsyche_Limnephilus_Polycelis_Rhyacophila_Simuliidae",26.76,38.6153846153846,28.673456560225,68.5510253528208
"ger","high","00053",26,9,17,"Asellidae_Baetis_Eiseniella_Heptageniidae_Lumbriculidae_Paraleptophlebia_Planorbidae_Psychomyiidae_Sphaeriidae","Chaetopteryx_Chironomidae_Dicranota_Elmidae_Empididae_Erpobdella_Gammarus_Glossiphonia_Halesus_Hydropsyche_Limnephilidae_Plectrocnemia_Polycentropus_Rhyacophila_Simuliidae_Simulium_Siphonoperla",56.1333333333333,395.529411764706,70.065112573948,1510.95176121076
"ger","high","00582",18,6,12,"Asellidae_Baetis_Dugesiidae_Nemoura_Planorbidae_Psychodidae","Chironomidae_Dendrocoelum_Elmidae_Erpobdella_Gammarus_Hydropsyche_Leptoceridae_Limnephilidae_Potamophylax_Rhyacophila_Simuliidae_Simulium",256,118.5,387.632815948289,202.940430131155
"ger","high","00130",24,12,12,"Asellidae_Baetis_Dugesiidae_Lumbriculidae_Lymnaeidae_Naididae_Physella_Planorbidae_Potamopyrgus_Psychomyiidae_Sphaeriidae_Sphaerium","Chaetopteryx_Chironomidae_Dicranota_Elmidae_Empididae_Erpobdella_Gammarus_Halesus_Hydropsyche_Limnephilidae_Plectrocnemia_Simulium",58.5,453.5,71.0472570003426,1311.13557027348
"ger","high","00371",30,11,19,"Asellidae_Baetis_Ceratopogonidae_Ephemeridae_Heptageniidae_Lumbriculidae_Naididae_Planorbidae_Psychomyiidae_Sphaeriidae_Taeniopterygidae","Athripsodes_Chironomidae_Dicranota_Elmidae_Empididae_Ephemerellidae_Erpobdella_Gammarus_Gyrinidae_Hydraenidae_Hydropsyche_Leptophlebiidae_Polycentropus_Potamopyrgus_Rhyacophila_Sericostoma_Serratella_Simuliidae_Simulium",30.8727272727273,43.0736842105263,73.8530038780968,71.6676344283904
"ger","high","00418",27,10,17,"Baetidae_Baetis_Ceratopogonidae_Ephemeridae_Goeridae_Lymnaeidae_Naididae_Ptychopteridae_Sphaeriidae_Tabanidae","Anabolia_Chaetopteryx_Chironomidae_Dicranota_Elmidae_Gammarus_Halesus_Helobdella_Limnephilidae_Limnephilus_Limoniidae_Potamophylax_Sericostoma_Sericostomatidae_Sialis_Simuliidae_Simulium",32.9,44.5411764705882,36.2915968235072,59.2651463638572
"ger","high","00140",31,16,15,"Baetidae_Baetis_Dugesiidae_Ephemeridae_Goeridae_Heptageniidae_Lepidostomatidae_Leuctra_Lumbriculidae_Paraleptophlebia_Planorbidae_Psychodidae_Psychomyiidae_Ptychopteridae_Scirtidae_Sphaeriidae","Chaetopteryx_Chironomidae_Dicranota_Empididae_Gammarus_Gyrinidae_Halesus_Hydropsyche_Limnephilidae_Limoniidae_Plectrocnemia_Rhyacophila_Sericostoma_Simuliidae_Simulium",39.4,92.0533333333333,65.6434002775603,199.710754652346
"ger","high","00332",19,9,10,"Asellidae_Baetis_Ceratopogonidae_Dugesiidae_Eiseniella_Lepidostomatidae_Nais_Potamopyrgus_Sphaeriidae","Agabus_Chaetopteryx_Chironomidae_Dicranota_Elmidae_Erpobdella_Gammarus_Halesus_Limnephilus_Simulium",17.8222222222222,94.92,20.6272742853835,262.313674824627
"ger","high","00624",5,1,4,"Sphaeriidae","Chironomidae_Gammarus_Limoniidae_Sialis",44,28.8,NA,39.0664391347185
"ger","high","00614",8,4,4,"Asellidae_Baetis_Eiseniella_Sphaeriidae","Chironomidae_Gammarus_Limoniidae_Sialis",7.4,57.2,12.1567539527074,94.9059885711469
