"country","degree","site_id","n_species","n_prey","n_predators","taxas_prey","taxas_predators","mean_abund_prey","mean_abund_predator","sd_abund_prey","sd_abund_predator"
"uk","high","00032",27,14,13,"Agapetus_Armiger_Arrenuridae_Baetis_Ephemeridae_Goeridae_Heptageniidae_Lepidostomatidae_Oribatidae_Paraleptophlebia_Planorbidae_Potamopyrgus_Psychomyiidae_Sphaeriidae","Athripsodes_Chironomidae_Crangonyx_Dicranota_Elmidae_Gammarus_Hydraenidae_Hydropsyche_Polycentropus_Rhyacophila_Sericostoma_Simuliidae_Simulium",90.5,240.384615384615,146.683201282429,505.010484785801
"uk","high","00063",35,17,18,"Acroloxidae_Arrenuridae_Asellidae_Baetidae_Baetis_Bithyniidae_Ceratopogonidae_Dryopidae_Ephemeridae_Haliplus_Hydroptilidae_Lymnaeidae_Mystacides_Planorbidae_Potamopyrgus_Sphaeriidae_Valvatidae","Chironomidae_Dytiscidae_Elmidae_Erpobdella_Gammarus_Glossiphonia_Gyrinus_Halesus_Hydraenidae_Hydroporus_Hydropsyche_Limnephilidae_Limnephilus_Notonecta_Sericostoma_Sialis_Sigara_Simulium",35.0588235294118,39.6388888888889,50.8858656556947,63.2131793675309
"uk","high","00068",18,10,8,"Arrenuridae_Asellidae_Baetis_Caenidae_Ceratopogonidae_Lymnaeidae_Physella_Psychodidae_Psychomyiidae_Sphaeriidae","Chironomidae_Erpobdella_Gammarus_Glossiphonia_Helobdella_Hydropsyche_Limnophora_Simulium",35.7,22.625,62.5123098988422,36.7032014952374
"uk","high","00078",16,10,6,"Asellidae_Baetis_Hydroptilidae_Lymnaeidae_Naididae_Planorbidae_Potamopyrgus_Psychodidae_Sphaeriidae_Sphaerium","Chironomidae_Corixidae_Dicranota_Erpobdella_Gammarus_Simulium",23.9,38.8333333333333,40.558462605095,62.3776135057014
"uk","high","00081",6,2,4,"Asellidae_Ceratopogonidae","Chironomidae_Erpobdellidae_Gammarus_Stenophylax",102,40,138.592929112563,58.4636639289739
"uk","high","00092",33,16,17,"Acroloxidae_Arrenuridae_Asellidae_Baetidae_Bithyniidae_Caenidae_Ceratopogonidae_Haliplus_Hydroptilidae_Lymnaea_Physa_Piscicolidae_Planorbidae_Pleidae_Sphaerium_Viviparus","Argyroneta_Chironomidae_Coenagrion_Crangonyx_Dendrocoelum_Dytiscidae_Enallagma_Erpobdella_Glossiphoniidae_Ischnura_Limnephilus_Macropelopia_Naucoridae_Notonecta_Polycelis_Sialis_Sigara",9.25,9.11764705882353,13.8491877018113,19.0029022551201
"uk","high","00108",9,6,3,"Asellidae_Haliplus_Lymnaeidae_Physa_Planorbidae_Potamopyrgus","Chironomidae_Gammarus_Limoniidae",5.16666666666667,50.3333333333333,4.62240918425302,49.5008417436849
"uk","high","00217",7,1,6,"Potamopyrgus","Chironomidae_Gammarus_Limoniidae_Nereididae_Palaemon_Staphylinidae",300,91.3333333333333,NA,200.900638791087
"uk","high","00226",41,22,19,"Arrenuridae_Asellidae_Baetidae_Bithyniidae_Caenidae_Ceratopogonidae_Dugesiidae_Ephemeridae_Gordiidae_Haliplus_Lymnaea_Lymnaeidae_Molannidae_Mystacides_Physa_Planorbidae_Potamopyrgus_Psychomyiidae_Sphaeriidae_Sphaerium_Tabanidae_Valvatidae","Agabus_Athripsodes_Calopteryx_Chironomidae_Dendrocoelum_Dytiscidae_Elmidae_Erpobdella_Gammarus_Glossiphonia_Glossiphoniidae_Helobdella_Limnephilus_Polycelis_Sericostoma_Sialis_Sigara_Simulium_Viviparus",23.1363636363636,13.0526315789474,36.7206902292031,24.1694795701119
"uk","high","00251",27,10,17,"Agapetus_Arrenuridae_Asellidae_Baetis_Dugesiidae_Goeridae_Nemoura_Planorbidae_Psychodidae_Sphaeriidae","Callicorixa_Chironomidae_Dicranota_Dytiscidae_Elmidae_Gammarus_Halesus_Leptophlebiidae_Limnephilidae_Oreodytes_Polycelis_Potamopyrgus_Rhyacophila_Rhyacophilidae_Simuliidae_Simulium_Tipulidae",16.2,38.5294117647059,27.3447130782777,68.3589950619694
