"country","degree","site_id","n_species","n_prey","n_predators","taxas_prey","taxas_predators","mean_abund_prey","mean_abund_predator","sd_abund_prey","sd_abund_predator"
"uk","least","00087",22,10,12,"Asellidae_Baetis_Caenidae_Ephemeridae_Mystacides_Planorbidae_Psychodidae_Sphaeriidae_Sphaerium_Valvatidae","Calopteryx_Chironomidae_Dytiscidae_Elmidae_Erpobdella_Gammarus_Glossiphonia_Halesus_Limnephilus_Limoniidae_Polycentropus_Sialis",3.7,6.08333333333333,5.77446486217073,8.9590820687809
"uk","least","00280",10,6,4,"Asellidae_Eiseniella_Naididae_Psychodidae_Sphaeriidae_Stratiomyidae","Chironomidae_Crangonyx_Gammarus_Simulium",3.5,14.75,3.72827037646145,17.9327447239215
"uk","least","00281",45,17,28,"Agapetus_Baetidae_Baetis_Brachycentrus_Ceratopogonidae_Dixidae_Glossosomatidae_Goeridae_Heptageniidae_Lepidostomatidae_Leuctra_Mystacides_Nemouridae_Piscicolidae_Planorbidae_Taeniopterygidae_Thereva","Athripsodes_Chironomidae_Chloroperla_Elmidae_Erpobdella_Erpobdellidae_Gammarus_Gyrinidae_Halesus_Hydraenidae_Hydropsyche_Isoperla_Leptophlebiidae_Limnephilidae_Odontocerum_Perlidae_Perlodes_Perlodidae_Planariidae_Polycentropus_Potamophylax_Potamopyrgus_Rhyacophila_Sericostoma_Sericostomatidae_Serratella_Simulium_Siphonoperla",24.4117647058824,9.58928571428571,40.1999826236427,18.1297042791292
"uk","least","00485",26,13,13,"Agapetus_Arrenuridae_Asellidae_Baetis_Ceratopogonidae_Ephemerella_Heptageniidae_Hydroptilidae_Leuctra_Nemouridae_Planorbidae_Potamopyrgus_Sphaeriidae","Chironomidae_Chloroperla_Crangonyx_Elmidae_Empididae_Gammarus_Hydropsyche_Perlodidae_Polycentropodidae_Rhyacophila_Rhyacophilidae_Simuliidae_Simulium",18.5384615384615,21.5384615384615,45.2117524997933,26.5412113031018
"uk","least","00490",19,12,7,"Agapetus_Arrenuridae_Asellidae_Baetis_Ceratopogonidae_Heptageniidae_Hydroptilidae_Lymnaeidae_Planorbidae_Potamopyrgus_Sphaeriidae_Sphaerium","Chironomidae_Clinocera_Elmidae_Empididae_Erpobdella_Hydropsyche_Isoperla",14.5833333333333,5,26.1027979459303,3.91578004149024
"uk","least","00526",29,15,14,"Agapetus_Arrenuridae_Asellidae_Baetis_Ceratopogonidae_Eiseniella_Ephemeridae_Goeridae_Lymnaeidae_Naididae_Nemoura_Potamopyrgus_Psychomyiidae_Scirtidae_Sphaeriidae","Chironomidae_Dicranota_Dolichopodidae_Elmidae_Empididae_Gammarus_Hydropsyche_Muscidae_Plectrocnemia_Polycelis_Potamophylax_Rhyacophila_Sericostoma_Simulium",17.8666666666667,47.2857142857143,38.3868777182044,106.809268231834
"uk","least","00534",34,15,19,"Asellidae_Baetis_Ephemeridae_Goeridae_Heptageniidae_Lepidostomatidae_Lymnaeidae_Nemoura_Nemouridae_Planorbidae_Potamopyrgus_Scirtidae_Sphaeriidae_Sphaerium_Stratiomyidae","Athripsodes_Chironomidae_Dicranota_Elmidae_Erpobdellidae_Gammarus_Glossiphonia_Gyrinidae_Helobdella_Hydropsyche_Limnephilidae_Limoniidae_Muscidae_Oreodytes_Polycelis_Rhyacophila_Sericostoma_Simulium_Tipulidae",27.9333333333333,34.7894736842105,69.7638533776284,75.7927209546379
"uk","least","00569",40,20,20,"Agapetus_Arrenuridae_Athericidae_Baetis_Caenidae_Ceratopogonidae_Ephemeridae_Goeridae_Heptageniidae_Hydroptilidae_Lepidostomatidae_Leuctra_Lymnaeidae_Nemouridae_Piscicolidae_Planorbidae_Potamopyrgus_Sphaeriidae_Tabanidae_Taeniopterygidae","Athripsodes_Chironomidae_Dicranota_Elmidae_Empididae_Gammarus_Glossiphonia_Gyrinidae_Hydraenidae_Hydropsyche_Isoperla_Perlodes_Polycelis_Polycentropus_Potamophylax_Rhyacophila_Sericostoma_Simulium_Siphonoperla_Staphylinidae",38.825,75.725,101.238680328898,234.53214766738
"uk","least","00589",26,13,13,"Baetidae_Baetis_Ceratopogonidae_Ephemeridae_Goeridae_Heptageniidae_Leuctra_Nemouridae_Planorbidae_Psychomyiidae_Sphaeriidae_Sphaerium_Taeniopterygidae","Chironomidae_Crangonyx_Dicranota_Gammarus_Isoperla_Leptophlebiidae_Limoniidae_Perlodes_Potamopyrgus_Rhyacophila_Serratella_Simulium_Tipulidae",24.6153846153846,8.92307692307692,41.0234454540702,9.84430070702111
"uk","least","00829",24,9,15,"Arrenuridae_Baetidae_Baetis_Caenidae_Heptageniidae_Leuctra_Nemouridae_Planorbidae_Psychodidae","Chironomidae_Chloroperla_Dicranota_Dinocras_Elmidae_Empididae_Hydraenidae_Hydropsyche_Isoperla_Limoniidae_Plectrocnemia_Polycentropus_Rhyacophila_Simulium_Siphonoperla",31.2222222222222,8.6,34.2665207519591,17.1414285118998
