"country","degree","site_id","n_species","n_prey","n_predators","taxas_prey","taxas_predators","mean_abund_prey","mean_abund_predator","sd_abund_prey","sd_abund_predator"
"uk","mid","00026",25,14,11,"Agapetus_Arrenuridae_Asellidae_Baetis_Caenidae_Dugesiidae_Eiseniella_Hydroptilidae_Lymnaeidae_Planorbidae_Potamopyrgus_Psychomyiidae_Sphaeriidae_Sphaerium","Chironomidae_Elmidae_Erpobdella_Erpobdellidae_Gammarus_Glossiphonia_Helobdella_Hydropsyche_Limnephilus_Limnophora_Simulium",28.7857142857143,51.5454545454545,56.8725681764857,79.8215054184818
"uk","mid","00046",23,14,9,"Bithyniidae_Ceratopogonidae_Corophiidae_Lymnaea_Lymnaeidae_Physella_Planorbidae_Potamopyrgus_Psychodidae_Psychomyiidae_Sphaeriidae_Sphaerium_Succineidae_Valvatidae","Chironomidae_Crangonyx_Gammaridae_Hydraenidae_Hydrophilidae_Limnephilus_Notonecta_Sialis_Simulium",18.2142857142857,11.1111111111111,52.5359636109158,20.7330921743745
"uk","mid","00057",16,7,9,"Asellidae_Baetis_Eiseniella_Piscicolidae_Psychodidae_Psychomyiidae_Sphaerium","Chironomidae_Crangonyx_Gammarus_Glossiphonia_Helobdella_Limnephilidae_Limnephilus_Polycelis_Simulium",18.4285714285714,24.6666666666667,39.2337318424556,60.7885680041897
"uk","mid","00079",15,6,9,"Armiger_Asellidae_Potamopyrgus_Psychodidae_Psychomyiidae_Sphaeriidae","Chironomidae_Dicranota_Elmidae_Erpobdella_Gammarus_Glossiphonia_Limnephilidae_Limnephilus_Stenophylax",35.5,26,80.5996277907038,36.3971152703068
"uk","mid","00184",14,7,7,"Agapetus_Asellidae_Baetis_Eiseniella_Hydroptilidae_Potamopyrgus_Psychomyiidae","Chironomidae_Elmidae_Gammarus_Limnephilidae_Polycelis_Rhyacophila_Sericostoma",24.7142857142857,39.8571428571429,51.2890965856431,84.7160523384413
"uk","mid","00198",34,16,18,"Agapetus_Asellidae_Baetis_Dixidae_Ephemeridae_Goeridae_Heptageniidae_Leuctra_Nemoura_Nemouridae_Oribatidae_Planorbidae_Psychomyiidae_Scirtidae_Sphaeriidae_Taeniopterygidae","Chironomidae_Diplectrona_Elmidae_Erpobdella_Gammarus_Glossiphonia_Hydropsyche_Isoperla_Leptophlebiidae_Limnephilidae_Philopotamidae_Planariidae_Plectrocnemia_Polycelis_Polycentropodidae_Rhyacophila_Sericostoma_Serratella",11.6875,15.4722222222222,27.6916804594208,36.0304088164029
"uk","mid","00231",24,11,13,"Agapetus_Asellidae_Baetis_Ceratopogonidae_Ephemeridae_Mystacides_Oribatidae_Potamopyrgus_Psychodidae_Sphaeriidae_Sphaerium","Armiger_Chironomidae_Dicranota_Dytiscidae_Elmidae_Empididae_Gammarus_Glossiphonia_Hydropsyche_Limoniidae_Sericostoma_Simuliidae_Stenophylax",647.636363636364,81.5384615384615,1799.87723318716,219.698511368275
"uk","mid","00262",21,12,9,"Acroloxidae_Arrenuridae_Asellidae_Baetidae_Baetis_Ceratopogonidae_Lymnaeidae_Potamopyrgus_Psychodidae_Psychomyiidae_Sphaeriidae_Stratiomyidae","Chironomidae_Dicranota_Erpobdella_Gammarus_Glossiphonia_Haemopis_Limnephilidae_Limnephilus_Simulium",39.3333333333333,12.7777777777778,98.9061385477375,18.5457392531127
"uk","mid","00274",9,4,5,"Asellidae_Ceratopogonidae_Potamopyrgus_Sphaeriidae","Agabus_Chironomidae_Helobdella_Simuliidae_Tipulidae",38,87.6,67.394361781977,192.527400647285
"uk","mid","00307",14,6,8,"Nemoura_Oribatidae_Planorbidae_Psychodidae_Sphaeriidae_Stratiomyidae","Chironomidae_Empididae_Gammarus_Isoperla_Limnephilidae_Limnephilus_Stenophylax_Tipulidae",9.66666666666667,39.875,13.485794995723,92.0612179864185
"uk","mid","00428",22,8,14,"Asellidae_Baetis_Ceratopogonidae_Haliplus_Planorbidae_Sphaeriidae_Valvatidae_Veliidae","Anacaena_Chironomidae_Dendrocoelum_Elmidae_Erpobdella_Gammarus_Glossiphonia_Helobdella_Leptophlebiidae_Limnephilus_Limoniidae_Nepidae_Polycelis_Simulium",117.875,10.2142857142857,231.252142847215,9.38229569601558
"uk","mid","00528",18,10,8,"Arrenuridae_Asellidae_Baetis_Ceratopogonidae_Hydroptilidae_Lumbricidae_Planorbidae_Potamopyrgus_Psychomyiidae_Sphaeriidae","Chironomidae_Empididae_Gammarus_Glossiphonia_Hydropsyche_Polycentropus_Rhyacophila_Siphonoperla",14.8,71.875,24.6837778487996,176.865112040625
